"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2022 00:00 - 01/01/2022 01:00","BZN|BG","4060.00","4145.00"
"01/01/2022 01:00 - 01/01/2022 02:00","BZN|BG","3888.00","4031.00"
"01/01/2022 02:00 - 01/01/2022 03:00","BZN|BG","3751.00","3984.00"
"01/01/2022 03:00 - 01/01/2022 04:00","BZN|BG","3668.00","3980.00"
"01/01/2022 04:00 - 01/01/2022 05:00","BZN|BG","3616.00","4013.00"
"01/01/2022 05:00 - 01/01/2022 06:00","BZN|BG","3612.00","4126.00"
"01/01/2022 06:00 - 01/01/2022 07:00","BZN|BG","3656.00","4316.00"
"01/01/2022 07:00 - 01/01/2022 08:00","BZN|BG","3833.00","4176.00"
"01/01/2022 08:00 - 01/01/2022 09:00","BZN|BG","4083.00","4816.00"
"01/01/2022 09:00 - 01/01/2022 10:00","BZN|BG","4253.00","4828.00"
"01/01/2022 10:00 - 01/01/2022 11:00","BZN|BG","4282.00","4765.00"
"01/01/2022 11:00 - 01/01/2022 12:00","BZN|BG","4265.00","4780.00"
"01/01/2022 12:00 - 01/01/2022 13:00","BZN|BG","4159.00","4691.00"
"01/01/2022 13:00 - 01/01/2022 14:00","BZN|BG","4104.00","4651.00"
"01/01/2022 14:00 - 01/01/2022 15:00","BZN|BG","4120.00","4683.00"
"01/01/2022 15:00 - 01/01/2022 16:00","BZN|BG","4259.00","4825.00"
"01/01/2022 16:00 - 01/01/2022 17:00","BZN|BG","4625.00","5121.00"
"01/01/2022 17:00 - 01/01/2022 18:00","BZN|BG","4748.00","5200.00"
"01/01/2022 18:00 - 01/01/2022 19:00","BZN|BG","4702.00","5112.00"
"01/01/2022 19:00 - 01/01/2022 20:00","BZN|BG","4560.00","4957.00"
"01/01/2022 20:00 - 01/01/2022 21:00","BZN|BG","4398.00","4770.00"
"01/01/2022 21:00 - 01/01/2022 22:00","BZN|BG","4308.00","4684.00"
"01/01/2022 22:00 - 01/01/2022 23:00","BZN|BG","4119.00","4481.00"
"01/01/2022 23:00 - 02/01/2022 00:00","BZN|BG","3833.00","4366.00"
"02/01/2022 00:00 - 02/01/2022 01:00","BZN|BG","3628.00","4251.00"
"02/01/2022 01:00 - 02/01/2022 02:00","BZN|BG","3499.00","4173.00"
"02/01/2022 02:00 - 02/01/2022 03:00","BZN|BG","3439.00","4011.00"
"02/01/2022 03:00 - 02/01/2022 04:00","BZN|BG","3426.00","3870.00"
