"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (BGN/MWh)","Intraday Period (CET/CEST)","Intraday Price (BGN/MWh)"
"01/01/2020 00:00:00 - 01/01/2020 01:00:00","BZN|BG","Without Sequence","76.26","",""
"01/01/2020 01:00:00 - 01/01/2020 02:00:00","BZN|BG","Without Sequence","68.57","",""
"01/01/2020 02:00:00 - 01/01/2020 03:00:00","BZN|BG","Without Sequence","58.99","",""
"01/01/2020 03:00:00 - 01/01/2020 04:00:00","BZN|BG","Without Sequence","52.51","",""
"01/01/2020 04:00:00 - 01/01/2020 05:00:00","BZN|BG","Without Sequence","57.23","",""
"01/01/2020 05:00:00 - 01/01/2020 06:00:00","BZN|BG","Without Sequence","58.42","",""
"01/01/2020 06:00:00 - 01/01/2020 07:00:00","BZN|BG","Without Sequence","52.04","",""
"01/01/2020 07:00:00 - 01/01/2020 08:00:00","BZN|BG","Without Sequence","50.71","",""
"01/01/2020 08:00:00 - 01/01/2020 09:00:00","BZN|BG","Without Sequence","50.79","",""
"01/01/2020 09:00:00 - 01/01/2020 10:00:00","BZN|BG","Without Sequence","49.76","",""
"01/01/2020 10:00:00 - 01/01/2020 11:00:00","BZN|BG","Without Sequence","44.30","",""
"01/01/2020 11:00:00 - 01/01/2020 12:00:00","BZN|BG","Without Sequence","44.48","",""
"01/01/2020 12:00:00 - 01/01/2020 13:00:00","BZN|BG","Without Sequence","44.08","",""
"01/01/2020 13:00:00 - 01/01/2020 14:00:00","BZN|BG","Without Sequence","45.08","",""
"01/01/2020 14:00:00 - 01/01/2020 15:00:00","BZN|BG","Without Sequence","47.04","",""
"01/01/2020 15:00:00 - 01/01/2020 16:00:00","BZN|BG","Without Sequence","62.41","",""
"01/01/2020 16:00:00 - 01/01/2020 17:00:00","BZN|BG","Without Sequence","79.07","",""
"01/01/2020 17:00:00 - 01/01/2020 18:00:00","BZN|BG","Without Sequence","83.92","",""
"01/01/2020 18:00:00 - 01/01/2020 19:00:00","BZN|BG","Without Sequence","83.94","",""
"01/01/2020 19:00:00 - 01/01/2020 20:00:00","BZN|BG","Without Sequence","83.96","",""
"01/01/2020 20:00:00 - 01/01/2020 21:00:00","BZN|BG","Without Sequence","82.95","",""
"01/01/2020 21:00:00 - 01/01/2020 22:00:00","BZN|BG","Without Sequence","79.58","",""
"01/01/2020 22:00:00 - 01/01/2020 23:00:00","BZN|BG","Without Sequence","75.30","",""
"01/01/2020 23:00:00 - 02/01/2020 00:00:00","BZN|BG","Without Sequence","67.30","",""
"02/01/2020 00:00:00 - 02/01/2020 01:00:00","BZN|BG","Without Sequence","44.06","",""
"02/01/2020 01:00:00 - 02/01/2020 02:00:00","BZN|BG","Without Sequence","40.68","",""
"02/01/2020 02:00:00 - 02/01/2020 03:00:00","BZN|BG","Without Sequence","38.28","",""
"02/01/2020 03:00:00 - 02/01/2020 04:00:00","BZN|BG","Without Sequence","42.44","",""
"02/01/2020 04:00:00 - 02/01/2020 05:00:00","BZN|BG","Without Sequence","43.11","",""
"02/01/2020 05:00:00 - 02/01/2020 06:00:00","BZN|BG","Without Sequence","77.39","",""
"02/01/2020 06:00:00 - 02/01/2020 07:00:00","BZN|BG","Without Sequence","98.63","",""
"02/01/2020 07:00:00 - 02/01/2020 08:00:00","BZN|BG","Without Sequence","104.01","",""
"02/01/2020 08:00:00 - 02/01/2020 09:00:00","BZN|BG","Without Sequence","104.01","",""
"02/01/2020 09:00:00 - 02/01/2020 10:00:00","BZN|BG","Without Sequence","91.96","",""
"02/01/2020 10:00:00 - 02/01/2020 11:00:00","BZN|BG","Without Sequence","85.86","",""
"02/01/2020 11:00:00 - 02/01/2020 12:00:00","BZN|BG","Without Sequence","85.67","",""
"02/01/2020 12:00:00 - 02/01/2020 13:00:00","BZN|BG","Without Sequence","104.01","",""
"02/01/2020 13:00:00 - 02/01/2020 14:00:00","BZN|BG","Without Sequence","104.03","",""
"02/01/2020 14:00:00 - 02/01/2020 15:00:00","BZN|BG","Without Sequence","104.05","",""
"02/01/2020 15:00:00 - 02/01/2020 16:00:00","BZN|BG","Without Sequence","104.03","",""
"02/01/2020 16:00:00 - 02/01/2020 17:00:00","BZN|BG","Without Sequence","124.02","",""
"02/01/2020 17:00:00 - 02/01/2020 18:00:00","BZN|BG","Without Sequence","124.02","",""
"02/01/2020 18:00:00 - 02/01/2020 19:00:00","BZN|BG","Without Sequence","124.02","",""
"02/01/2020 19:00:00 - 02/01/2020 20:00:00","BZN|BG","Without Sequence","124.02","",""
"02/01/2020 20:00:00 - 02/01/2020 21:00:00","BZN|BG","Without Sequence","104.01","",""
"02/01/2020 21:00:00 - 02/01/2020 22:00:00","BZN|BG","Without Sequence","104.01","",""
"02/01/2020 22:00:00 - 02/01/2020 23:00:00","BZN|BG","Without Sequence","104.03","",""
"02/01/2020 23:00:00 - 03/01/2020 00:00:00","BZN|BG","Without Sequence","98.12","",""
"03/01/2020 00:00:00 - 03/01/2020 01:00:00","BZN|BG","Without Sequence","98.10","",""
"03/01/2020 01:00:00 - 03/01/2020 02:00:00","BZN|BG","Without Sequence","87.13","",""
"03/01/2020 02:00:00 - 03/01/2020 03:00:00","BZN|BG","Without Sequence","64.48","",""
"03/01/2020 03:00:00 - 03/01/2020 04:00:00","BZN|BG","Without Sequence","65.89","",""
"03/01/2020 04:00:00 - 03/01/2020 05:00:00","BZN|BG","Without Sequence","72.33","",""
"03/01/2020 05:00:00 - 03/01/2020 06:00:00","BZN|BG","Without Sequence","98.18","",""
"03/01/2020 06:00:00 - 03/01/2020 07:00:00","BZN|BG","Without Sequence","107.55","",""
"03/01/2020 07:00:00 - 03/01/2020 08:00:00","BZN|BG","Without Sequence","122.06","",""
"03/01/2020 08:00:00 - 03/01/2020 09:00:00","BZN|BG","Without Sequence","113.01","",""
