"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (BGN/MWh)","Intraday Period (CET/CEST)","Intraday Price (BGN/MWh)"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|BG","Without Sequence","44.01","",""
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|BG","Without Sequence","38.08","",""
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|BG","Without Sequence","36.75","",""
"01/01/2017 03:00:00 - 01/01/2017 04:00:00","BZN|BG","Without Sequence","36.91","",""
"01/01/2017 04:00:00 - 01/01/2017 05:00:00","BZN|BG","Without Sequence","39.08","",""
"01/01/2017 05:00:00 - 01/01/2017 06:00:00","BZN|BG","Without Sequence","39.49","",""
"01/01/2017 06:00:00 - 01/01/2017 07:00:00","BZN|BG","Without Sequence","39.17","",""
"01/01/2017 07:00:00 - 01/01/2017 08:00:00","BZN|BG","Without Sequence","41.33","",""
"01/01/2017 08:00:00 - 01/01/2017 09:00:00","BZN|BG","Without Sequence","44.03","",""
"01/01/2017 09:00:00 - 01/01/2017 10:00:00","BZN|BG","Without Sequence","44.04","",""
"01/01/2017 10:00:00 - 01/01/2017 11:00:00","BZN|BG","Without Sequence","44.03","",""
"01/01/2017 11:00:00 - 01/01/2017 12:00:00","BZN|BG","Without Sequence","44.03","",""
"01/01/2017 12:00:00 - 01/01/2017 13:00:00","BZN|BG","Without Sequence","44.04","",""
"01/01/2017 13:00:00 - 01/01/2017 14:00:00","BZN|BG","Without Sequence","44.03","",""
"01/01/2017 14:00:00 - 01/01/2017 15:00:00","BZN|BG","Without Sequence","44.03","",""
"01/01/2017 15:00:00 - 01/01/2017 16:00:00","BZN|BG","Without Sequence","44.04","",""
"01/01/2017 16:00:00 - 01/01/2017 17:00:00","BZN|BG","Without Sequence","68.53","",""
"01/01/2017 17:00:00 - 01/01/2017 18:00:00","BZN|BG","Without Sequence","52.69","",""
"01/01/2017 18:00:00 - 01/01/2017 19:00:00","BZN|BG","Without Sequence","44.08","",""
"01/01/2017 19:00:00 - 01/01/2017 20:00:00","BZN|BG","Without Sequence","44.06","",""
"01/01/2017 20:00:00 - 01/01/2017 21:00:00","BZN|BG","Without Sequence","44.03","",""
"01/01/2017 21:00:00 - 01/01/2017 22:00:00","BZN|BG","Without Sequence","44.04","",""
"01/01/2017 22:00:00 - 01/01/2017 23:00:00","BZN|BG","Without Sequence","44.03","",""
"01/01/2017 23:00:00 - 02/01/2017 00:00:00","BZN|BG","Without Sequence","44.04","",""
"02/01/2017 00:00:00 - 02/01/2017 01:00:00","BZN|BG","Without Sequence","44.03","",""
"02/01/2017 01:00:00 - 02/01/2017 02:00:00","BZN|BG","Without Sequence","44.01","",""
"02/01/2017 02:00:00 - 02/01/2017 03:00:00","BZN|BG","Without Sequence","44.01","",""
"02/01/2017 03:00:00 - 02/01/2017 04:00:00","BZN|BG","Without Sequence","44.01","",""
"02/01/2017 04:00:00 - 02/01/2017 05:00:00","BZN|BG","Without Sequence","44.04","",""
