"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2018 00:00 - 01/01/2018 01:00","BZN|BG","4094.00","3923.00"
"01/01/2018 01:00 - 01/01/2018 02:00","BZN|BG","3910.00","3702.00"
"01/01/2018 02:00 - 01/01/2018 03:00","BZN|BG","3761.00","3549.00"
"01/01/2018 03:00 - 01/01/2018 04:00","BZN|BG","3654.00","3459.00"
"01/01/2018 04:00 - 01/01/2018 05:00","BZN|BG","3602.00","3415.00"
"01/01/2018 05:00 - 01/01/2018 06:00","BZN|BG","3591.00","3410.00"
"01/01/2018 06:00 - 01/01/2018 07:00","BZN|BG","3646.00","3481.00"
"01/01/2018 07:00 - 01/01/2018 08:00","BZN|BG","3815.00","3681.00"
"01/01/2018 08:00 - 01/01/2018 09:00","BZN|BG","4057.00","3918.00"
"01/01/2018 09:00 - 01/01/2018 10:00","BZN|BG","4185.00","4068.00"
"01/01/2018 10:00 - 01/01/2018 11:00","BZN|BG","4211.00","4108.00"
"01/01/2018 11:00 - 01/01/2018 12:00","BZN|BG","4138.00","4077.00"
"01/01/2018 12:00 - 01/01/2018 13:00","BZN|BG","3993.00","3945.00"
"01/01/2018 13:00 - 01/01/2018 14:00","BZN|BG","3907.00","3820.00"
"01/01/2018 14:00 - 01/01/2018 15:00","BZN|BG","3940.00","3821.00"
"01/01/2018 15:00 - 01/01/2018 16:00","BZN|BG","4153.00","3997.00"
"01/01/2018 16:00 - 01/01/2018 17:00","BZN|BG","4713.00","4510.00"
"01/01/2018 17:00 - 01/01/2018 18:00","BZN|BG","4992.00","4707.00"
"01/01/2018 18:00 - 01/01/2018 19:00","BZN|BG","4922.00","4656.00"
"01/01/2018 19:00 - 01/01/2018 20:00","BZN|BG","4775.00","4504.00"
"01/01/2018 20:00 - 01/01/2018 21:00","BZN|BG","4582.00","4351.00"
"01/01/2018 21:00 - 01/01/2018 22:00","BZN|BG","4515.00","4362.00"
"01/01/2018 22:00 - 01/01/2018 23:00","BZN|BG","4254.00","4122.00"
"01/01/2018 23:00 - 02/01/2018 00:00","BZN|BG","3952.00","4221.00"
"02/01/2018 00:00 - 02/01/2018 01:00","BZN|BG","3717.00","3913.00"
"02/01/2018 01:00 - 02/01/2018 02:00","BZN|BG","3617.00","3787.00"
"02/01/2018 02:00 - 02/01/2018 03:00","BZN|BG","3592.00","3729.00"
"02/01/2018 03:00 - 02/01/2018 04:00","BZN|BG","3594.00","3761.00"
"02/01/2018 04:00 - 02/01/2018 05:00","BZN|BG","3730.00","3933.00"
"02/01/2018 05:00 - 02/01/2018 06:00","BZN|BG","4080.00","4342.00"
"02/01/2018 06:00 - 02/01/2018 07:00","BZN|BG","4520.00","4894.00"
"02/01/2018 07:00 - 02/01/2018 08:00","BZN|BG","5032.00","5455.00"
"02/01/2018 08:00 - 02/01/2018 09:00","BZN|BG","5366.00","5750.00"
"02/01/2018 09:00 - 02/01/2018 10:00","BZN|BG","5416.00","5706.00"
"02/01/2018 10:00 - 02/01/2018 11:00","BZN|BG","5354.00","5581.00"
"02/01/2018 11:00 - 02/01/2018 12:00","BZN|BG","5176.00","5407.00"
"02/01/2018 12:00 - 02/01/2018 13:00","BZN|BG","5099.00","5298.00"
"02/01/2018 13:00 - 02/01/2018 14:00","BZN|BG","5023.00","5214.00"
