"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|BG","Without Sequence","20.02","",""
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|BG","Without Sequence","0.18","",""
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|BG","Without Sequence","0.01","",""
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|BG","Without Sequence","0.01","",""
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|BG","Without Sequence","0.01","",""
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|BG","Without Sequence","0.01","",""
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|BG","Without Sequence","0.01","",""
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|BG","Without Sequence","0.01","",""
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|BG","Without Sequence","0.29","",""
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|BG","Without Sequence","0.93","",""
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|BG","Without Sequence","1.57","",""
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|BG","Without Sequence","2.27","",""
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|BG","Without Sequence","2.40","",""
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|BG","Without Sequence","2.49","",""
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|BG","Without Sequence","9.70","",""
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|BG","Without Sequence","23.86","",""
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|BG","Without Sequence","36.54","",""
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|BG","Without Sequence","46.03","",""
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|BG","Without Sequence","53.22","",""
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|BG","Without Sequence","54.95","",""
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|BG","Without Sequence","49.06","",""
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|BG","Without Sequence","44.27","",""
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|BG","Without Sequence","45.96","",""
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|BG","Without Sequence","35.00","",""
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|BG","Without Sequence","66.78","",""
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|BG","Without Sequence","59.30","",""
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|BG","Without Sequence","52.93","",""
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|BG","Without Sequence","44.67","",""
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|BG","Without Sequence","50.08","",""
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|BG","Without Sequence","72.53","",""
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|BG","Without Sequence","105.08","",""
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|BG","Without Sequence","140.64","",""
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","BZN|BG","Without Sequence","146.73","",""
"02/01/2023 09:00:00 - 02/01/2023 10:00:00","BZN|BG","Without Sequence","148.55","",""
"02/01/2023 10:00:00 - 02/01/2023 11:00:00","BZN|BG","Without Sequence","145.61","",""
"02/01/2023 11:00:00 - 02/01/2023 12:00:00","BZN|BG","Without Sequence","143.35","",""
"02/01/2023 12:00:00 - 02/01/2023 13:00:00","BZN|BG","Without Sequence","144.38","",""
"02/01/2023 13:00:00 - 02/01/2023 14:00:00","BZN|BG","Without Sequence","143.76","",""
"02/01/2023 14:00:00 - 02/01/2023 15:00:00","BZN|BG","Without Sequence","148.20","",""
"02/01/2023 15:00:00 - 02/01/2023 16:00:00","BZN|BG","Without Sequence","155.34","",""
"02/01/2023 16:00:00 - 02/01/2023 17:00:00","BZN|BG","Without Sequence","163.80","",""
"02/01/2023 17:00:00 - 02/01/2023 18:00:00","BZN|BG","Without Sequence","170.77","",""
