"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2021 00:00 - 01/01/2021 01:00","BZN|BG","3575.00","3793.00"
"01/01/2021 01:00 - 01/01/2021 02:00","BZN|BG","3385.00","3578.00"
"01/01/2021 02:00 - 01/01/2021 03:00","BZN|BG","3251.00","3393.00"
"01/01/2021 03:00 - 01/01/2021 04:00","BZN|BG","3172.00","3285.00"
"01/01/2021 04:00 - 01/01/2021 05:00","BZN|BG","3141.00","3226.00"
"01/01/2021 05:00 - 01/01/2021 06:00","BZN|BG","3144.00","3200.00"
"01/01/2021 06:00 - 01/01/2021 07:00","BZN|BG","3200.00","3262.00"
"01/01/2021 07:00 - 01/01/2021 08:00","BZN|BG","3380.00","3452.00"
"01/01/2021 08:00 - 01/01/2021 09:00","BZN|BG","3614.00","3698.00"
"01/01/2021 09:00 - 01/01/2021 10:00","BZN|BG","3725.00","3831.00"
"01/01/2021 10:00 - 01/01/2021 11:00","BZN|BG","3752.00","3884.00"
"01/01/2021 11:00 - 01/01/2021 12:00","BZN|BG","3685.00","3836.00"
"01/01/2021 12:00 - 01/01/2021 13:00","BZN|BG","3551.00","3719.00"
"01/01/2021 13:00 - 01/01/2021 14:00","BZN|BG","3432.00","3644.00"
"01/01/2021 14:00 - 01/01/2021 15:00","BZN|BG","3430.00","3647.00"
"01/01/2021 15:00 - 01/01/2021 16:00","BZN|BG","3619.00","3882.00"
"01/01/2021 16:00 - 01/01/2021 17:00","BZN|BG","4119.00","4474.00"
"01/01/2021 17:00 - 01/01/2021 18:00","BZN|BG","4336.00","4720.00"
"01/01/2021 18:00 - 01/01/2021 19:00","BZN|BG","4311.00","4668.00"
"01/01/2021 19:00 - 01/01/2021 20:00","BZN|BG","4197.00","4500.00"
"01/01/2021 20:00 - 01/01/2021 21:00","BZN|BG","4045.00","4330.00"
"01/01/2021 21:00 - 01/01/2021 22:00","BZN|BG","3983.00","4246.00"
"01/01/2021 22:00 - 01/01/2021 23:00","BZN|BG","3786.00","4024.00"
"01/01/2021 23:00 - 02/01/2021 00:00","BZN|BG","3552.00","3683.00"
"02/01/2021 00:00 - 02/01/2021 01:00","BZN|BG","3361.00","3465.00"
"02/01/2021 01:00 - 02/01/2021 02:00","BZN|BG","3258.00","3329.00"
"02/01/2021 02:00 - 02/01/2021 03:00","BZN|BG","3210.00","3301.00"
"02/01/2021 03:00 - 02/01/2021 04:00","BZN|BG","3212.00","3290.00"
"02/01/2021 04:00 - 02/01/2021 05:00","BZN|BG","3280.00","3319.00"
"02/01/2021 05:00 - 02/01/2021 06:00","BZN|BG","3403.00","3396.00"
"02/01/2021 06:00 - 02/01/2021 07:00","BZN|BG","3616.00","3564.00"
"02/01/2021 07:00 - 02/01/2021 08:00","BZN|BG","4006.00","3929.00"
"02/01/2021 08:00 - 02/01/2021 09:00","BZN|BG","4301.00","4238.00"
"02/01/2021 09:00 - 02/01/2021 10:00","BZN|BG","4384.00","4397.00"
"02/01/2021 10:00 - 02/01/2021 11:00","BZN|BG","4334.00","4402.00"
"02/01/2021 11:00 - 02/01/2021 12:00","BZN|BG","4213.00","4354.00"
"02/01/2021 12:00 - 02/01/2021 13:00","BZN|BG","4066.00","4281.00"
"02/01/2021 13:00 - 02/01/2021 14:00","BZN|BG","3944.00","4193.00"
"02/01/2021 14:00 - 02/01/2021 15:00","BZN|BG","3957.00","4223.00"
"02/01/2021 15:00 - 02/01/2021 16:00","BZN|BG","4195.00","4409.00"
"02/01/2021 16:00 - 02/01/2021 17:00","BZN|BG","4689.00","4755.00"
"02/01/2021 17:00 - 02/01/2021 18:00","BZN|BG","4876.00","4920.00"
"02/01/2021 18:00 - 02/01/2021 19:00","BZN|BG","4789.00","4850.00"
"02/01/2021 19:00 - 02/01/2021 20:00","BZN|BG","4596.00","4685.00"
"02/01/2021 20:00 - 02/01/2021 21:00","BZN|BG","4415.00","4489.00"
"02/01/2021 21:00 - 02/01/2021 22:00","BZN|BG","4317.00","4428.00"
"02/01/2021 22:00 - 02/01/2021 23:00","BZN|BG","4081.00","4224.00"
"02/01/2021 23:00 - 03/01/2021 00:00","BZN|BG","3781.00","3690.00"
"03/01/2021 00:00 - 03/01/2021 01:00","BZN|BG","3543.00","3489.00"
"03/01/2021 01:00 - 03/01/2021 02:00","BZN|BG","3429.00","3342.00"
"03/01/2021 02:00 - 03/01/2021 03:00","BZN|BG","3358.00","3280.00"
"03/01/2021 03:00 - 03/01/2021 04:00","BZN|BG","3336.00","3270.00"
"03/01/2021 04:00 - 03/01/2021 05:00","BZN|BG","3346.00","3308.00"
"03/01/2021 05:00 - 03/01/2021 06:00","BZN|BG","3441.00","3384.00"
"03/01/2021 06:00 - 03/01/2021 07:00","BZN|BG","3599.00","3551.00"
"03/01/2021 07:00 - 03/01/2021 08:00","BZN|BG","3959.00","3901.00"
"03/01/2021 08:00 - 03/01/2021 09:00","BZN|BG","4347.00","4244.00"
"03/01/2021 09:00 - 03/01/2021 10:00","BZN|BG","4573.00","4463.00"
"03/01/2021 10:00 - 03/01/2021 11:00","BZN|BG","4673.00","4541.00"
"03/01/2021 11:00 - 03/01/2021 12:00","BZN|BG","4655.00","4553.00"
"03/01/2021 12:00 - 03/01/2021 13:00","BZN|BG","4543.00","4522.00"
"03/01/2021 13:00 - 03/01/2021 14:00","BZN|BG","4424.00","4456.00"
"03/01/2021 14:00 - 03/01/2021 15:00","BZN|BG","4417.00","4475.00"
"03/01/2021 15:00 - 03/01/2021 16:00","BZN|BG","4592.00","4610.00"
