"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (BGN/MWh)","Intraday Period (CET/CEST)","Intraday Price (BGN/MWh)"
"22/03/2018 00:00:00 - 22/03/2018 01:00:00","BZN|BG","Without Sequence","44.03","",""
"22/03/2018 01:00:00 - 22/03/2018 02:00:00","BZN|BG","Without Sequence","44.01","",""
"22/03/2018 02:00:00 - 22/03/2018 03:00:00","BZN|BG","Without Sequence","38.12","",""
"22/03/2018 03:00:00 - 22/03/2018 04:00:00","BZN|BG","Without Sequence","38.12","",""
"22/03/2018 04:00:00 - 22/03/2018 05:00:00","BZN|BG","Without Sequence","43.97","",""
"22/03/2018 05:00:00 - 22/03/2018 06:00:00","BZN|BG","Without Sequence","44.05","",""
"22/03/2018 06:00:00 - 22/03/2018 07:00:00","BZN|BG","Without Sequence","50.05","",""
"22/03/2018 07:00:00 - 22/03/2018 08:00:00","BZN|BG","Without Sequence","79.11","",""
"22/03/2018 08:00:00 - 22/03/2018 09:00:00","BZN|BG","Without Sequence","83.10","",""
"22/03/2018 09:00:00 - 22/03/2018 10:00:00","BZN|BG","Without Sequence","77.37","",""
"22/03/2018 10:00:00 - 22/03/2018 11:00:00","BZN|BG","Without Sequence","68.59","",""
"22/03/2018 11:00:00 - 22/03/2018 12:00:00","BZN|BG","Without Sequence","62.74","",""
"22/03/2018 12:00:00 - 22/03/2018 13:00:00","BZN|BG","Without Sequence","76.14","",""
"22/03/2018 13:00:00 - 22/03/2018 14:00:00","BZN|BG","Without Sequence","62.78","",""
"22/03/2018 14:00:00 - 22/03/2018 15:00:00","BZN|BG","Without Sequence","62.74","",""
"22/03/2018 15:00:00 - 22/03/2018 16:00:00","BZN|BG","Without Sequence","50.09","",""
"22/03/2018 16:00:00 - 22/03/2018 17:00:00","BZN|BG","Without Sequence","44.10","",""
"22/03/2018 17:00:00 - 22/03/2018 18:00:00","BZN|BG","Without Sequence","44.08","",""
"22/03/2018 18:00:00 - 22/03/2018 19:00:00","BZN|BG","Without Sequence","46.88","",""
"22/03/2018 19:00:00 - 22/03/2018 20:00:00","BZN|BG","Without Sequence","44.75","",""
"22/03/2018 20:00:00 - 22/03/2018 21:00:00","BZN|BG","Without Sequence","44.08","",""
"22/03/2018 21:00:00 - 22/03/2018 22:00:00","BZN|BG","Without Sequence","44.03","",""
"22/03/2018 22:00:00 - 22/03/2018 23:00:00","BZN|BG","Without Sequence","44.05","",""
"22/03/2018 23:00:00 - 23/03/2018 00:00:00","BZN|BG","Without Sequence","44.05","",""
"23/03/2018 00:00:00 - 23/03/2018 01:00:00","BZN|BG","Without Sequence","44.05","",""
"23/03/2018 01:00:00 - 23/03/2018 02:00:00","BZN|BG","Without Sequence","44.03","",""
"23/03/2018 02:00:00 - 23/03/2018 03:00:00","BZN|BG","Without Sequence","44.03","",""
"23/03/2018 03:00:00 - 23/03/2018 04:00:00","BZN|BG","Without Sequence","44.03","",""
"23/03/2018 04:00:00 - 23/03/2018 05:00:00","BZN|BG","Without Sequence","44.05","",""
"23/03/2018 05:00:00 - 23/03/2018 06:00:00","BZN|BG","Without Sequence","44.06","",""
"23/03/2018 06:00:00 - 23/03/2018 07:00:00","BZN|BG","Without Sequence","50.01","",""
"23/03/2018 07:00:00 - 23/03/2018 08:00:00","BZN|BG","Without Sequence","101.64","",""
"23/03/2018 08:00:00 - 23/03/2018 09:00:00","BZN|BG","Without Sequence","94.19","",""
"23/03/2018 09:00:00 - 23/03/2018 10:00:00","BZN|BG","Without Sequence","87.93","",""
"23/03/2018 10:00:00 - 23/03/2018 11:00:00","BZN|BG","Without Sequence","50.09","",""
"23/03/2018 11:00:00 - 23/03/2018 12:00:00","BZN|BG","Without Sequence","50.07","",""
"23/03/2018 12:00:00 - 23/03/2018 13:00:00","BZN|BG","Without Sequence","70.57","",""
"23/03/2018 13:00:00 - 23/03/2018 14:00:00","BZN|BG","Without Sequence","62.72","",""
"23/03/2018 14:00:00 - 23/03/2018 15:00:00","BZN|BG","Without Sequence","50.09","",""
"23/03/2018 15:00:00 - 23/03/2018 16:00:00","BZN|BG","Without Sequence","50.05","",""
"23/03/2018 16:00:00 - 23/03/2018 17:00:00","BZN|BG","Without Sequence","44.08","",""
"23/03/2018 17:00:00 - 23/03/2018 18:00:00","BZN|BG","Without Sequence","70.59","",""
"23/03/2018 18:00:00 - 23/03/2018 19:00:00","BZN|BG","Without Sequence","99.92","",""
"23/03/2018 19:00:00 - 23/03/2018 20:00:00","BZN|BG","Without Sequence","95.64","",""
"23/03/2018 20:00:00 - 23/03/2018 21:00:00","BZN|BG","Without Sequence","48.84","",""
"23/03/2018 21:00:00 - 23/03/2018 22:00:00","BZN|BG","Without Sequence","44.06","",""
"23/03/2018 22:00:00 - 23/03/2018 23:00:00","BZN|BG","Without Sequence","44.05","",""
"23/03/2018 23:00:00 - 24/03/2018 00:00:00","BZN|BG","Without Sequence","44.05","",""
"24/03/2018 00:00:00 - 24/03/2018 01:00:00","BZN|BG","Without Sequence","44.10","",""
"24/03/2018 01:00:00 - 24/03/2018 02:00:00","BZN|BG","Without Sequence","44.10","",""
"24/03/2018 02:00:00 - 24/03/2018 03:00:00","BZN|BG","Without Sequence","44.10","",""
"24/03/2018 03:00:00 - 24/03/2018 04:00:00","BZN|BG","Without Sequence","44.08","",""
"24/03/2018 04:00:00 - 24/03/2018 05:00:00","BZN|BG","Without Sequence","44.10","",""
"24/03/2018 05:00:00 - 24/03/2018 06:00:00","BZN|BG","Without Sequence","50.03","",""
"24/03/2018 06:00:00 - 24/03/2018 07:00:00","BZN|BG","Without Sequence","54.82","",""
"24/03/2018 07:00:00 - 24/03/2018 08:00:00","BZN|BG","Without Sequence","62.00","",""
"24/03/2018 08:00:00 - 24/03/2018 09:00:00","BZN|BG","Without Sequence","62.68","",""
"24/03/2018 09:00:00 - 24/03/2018 10:00:00","BZN|BG","Without Sequence","62.72","",""
"24/03/2018 10:00:00 - 24/03/2018 11:00:00","BZN|BG","Without Sequence","62.61","",""
"24/03/2018 11:00:00 - 24/03/2018 12:00:00","BZN|BG","Without Sequence","54.98","",""
"24/03/2018 12:00:00 - 24/03/2018 13:00:00","BZN|BG","Without Sequence","54.96","",""
"24/03/2018 13:00:00 - 24/03/2018 14:00:00","BZN|BG","Without Sequence","53.96","",""
"24/03/2018 14:00:00 - 24/03/2018 15:00:00","BZN|BG","Without Sequence","53.88","",""
"24/03/2018 15:00:00 - 24/03/2018 16:00:00","BZN|BG","Without Sequence","50.01","",""
"24/03/2018 16:00:00 - 24/03/2018 17:00:00","BZN|BG","Without Sequence","55.00","",""
"24/03/2018 17:00:00 - 24/03/2018 18:00:00","BZN|BG","Without Sequence","75.48","",""
"24/03/2018 18:00:00 - 24/03/2018 19:00:00","BZN|BG","Without Sequence","60.98","",""
"24/03/2018 19:00:00 - 24/03/2018 20:00:00","BZN|BG","Without Sequence","67.12","",""
"24/03/2018 20:00:00 - 24/03/2018 21:00:00","BZN|BG","Without Sequence","68.34","",""
"24/03/2018 21:00:00 - 24/03/2018 22:00:00","BZN|BG","Without Sequence","50.01","",""
"24/03/2018 22:00:00 - 24/03/2018 23:00:00","BZN|BG","Without Sequence","50.05","",""
"24/03/2018 23:00:00 - 25/03/2018 00:00:00","BZN|BG","Without Sequence","50.01","",""
"25/03/2018 00:00:00 - 25/03/2018 01:00:00 (CET)","BZN|BG","Without Sequence","44.03","",""
"25/03/2018 01:00:00 (CET) - 25/03/2018 03:00:00 (CEST)","BZN|BG","Without Sequence","41.58","",""
"25/03/2018 03:00:00 (CEST) - 25/03/2018 04:00:00","BZN|BG","Without Sequence","36.83","",""
"25/03/2018 04:00:00 - 25/03/2018 05:00:00","BZN|BG","Without Sequence","43.15","",""
"25/03/2018 05:00:00 - 25/03/2018 06:00:00","BZN|BG","Without Sequence","43.58","",""
"25/03/2018 06:00:00 - 25/03/2018 07:00:00","BZN|BG","Without Sequence","38.08","",""
"25/03/2018 07:00:00 - 25/03/2018 08:00:00","BZN|BG","Without Sequence","44.06","",""
"25/03/2018 08:00:00 - 25/03/2018 09:00:00","BZN|BG","Without Sequence","44.03","",""
"25/03/2018 09:00:00 - 25/03/2018 10:00:00","BZN|BG","Without Sequence","44.06","",""
"25/03/2018 10:00:00 - 25/03/2018 11:00:00","BZN|BG","Without Sequence","44.06","",""
"25/03/2018 11:00:00 - 25/03/2018 12:00:00","BZN|BG","Without Sequence","44.05","",""
"25/03/2018 12:00:00 - 25/03/2018 13:00:00","BZN|BG","Without Sequence","44.06","",""
"25/03/2018 13:00:00 - 25/03/2018 14:00:00","BZN|BG","Without Sequence","44.03","",""
"25/03/2018 14:00:00 - 25/03/2018 15:00:00","BZN|BG","Without Sequence","42.11","",""
"25/03/2018 15:00:00 - 25/03/2018 16:00:00","BZN|BG","Without Sequence","44.01","",""
"25/03/2018 16:00:00 - 25/03/2018 17:00:00","BZN|BG","Without Sequence","44.08","",""
"25/03/2018 17:00:00 - 25/03/2018 18:00:00","BZN|BG","Without Sequence","54.98","",""
"25/03/2018 18:00:00 - 25/03/2018 19:00:00","BZN|BG","Without Sequence","74.85","",""
"25/03/2018 19:00:00 - 25/03/2018 20:00:00","BZN|BG","Without Sequence","74.73","",""
"25/03/2018 20:00:00 - 25/03/2018 21:00:00","BZN|BG","Without Sequence","49.93","",""
"25/03/2018 21:00:00 - 25/03/2018 22:00:00","BZN|BG","Without Sequence","44.06","",""
"25/03/2018 22:00:00 - 25/03/2018 23:00:00","BZN|BG","Without Sequence","44.06","",""
"25/03/2018 23:00:00 - 26/03/2018 00:00:00","BZN|BG","Without Sequence","44.03","",""
"26/03/2018 00:00:00 - 26/03/2018 01:00:00","BZN|BG","Without Sequence","44.05","",""
"26/03/2018 01:00:00 - 26/03/2018 02:00:00","BZN|BG","Without Sequence","44.06","",""
"26/03/2018 02:00:00 - 26/03/2018 03:00:00","BZN|BG","Without Sequence","44.06","",""
"26/03/2018 03:00:00 - 26/03/2018 04:00:00","BZN|BG","Without Sequence","44.06","",""
"26/03/2018 04:00:00 - 26/03/2018 05:00:00","BZN|BG","Without Sequence","44.08","",""
"26/03/2018 05:00:00 - 26/03/2018 06:00:00","BZN|BG","Without Sequence","48.05","",""
"26/03/2018 06:00:00 - 26/03/2018 07:00:00","BZN|BG","Without Sequence","50.05","",""
"26/03/2018 07:00:00 - 26/03/2018 08:00:00","BZN|BG","Without Sequence","123.37","",""
"26/03/2018 08:00:00 - 26/03/2018 09:00:00","BZN|BG","Without Sequence","143.52","",""
"26/03/2018 09:00:00 - 26/03/2018 10:00:00","BZN|BG","Without Sequence","142.60","",""
"26/03/2018 10:00:00 - 26/03/2018 11:00:00","BZN|BG","Without Sequence","128.89","",""
"26/03/2018 11:00:00 - 26/03/2018 12:00:00","BZN|BG","Without Sequence","101.88","",""
"26/03/2018 12:00:00 - 26/03/2018 13:00:00","BZN|BG","Without Sequence","95.95","",""
"26/03/2018 13:00:00 - 26/03/2018 14:00:00","BZN|BG","Without Sequence","90.03","",""
"26/03/2018 14:00:00 - 26/03/2018 15:00:00","BZN|BG","Without Sequence","89.83","",""
"26/03/2018 15:00:00 - 26/03/2018 16:00:00","BZN|BG","Without Sequence","93.55","",""
"26/03/2018 16:00:00 - 26/03/2018 17:00:00","BZN|BG","Without Sequence","68.63","",""
"26/03/2018 17:00:00 - 26/03/2018 18:00:00","BZN|BG","Without Sequence","67.63","",""
"26/03/2018 18:00:00 - 26/03/2018 19:00:00","BZN|BG","Without Sequence","96.85","",""
"26/03/2018 19:00:00 - 26/03/2018 20:00:00","BZN|BG","Without Sequence","117.45","",""
"26/03/2018 20:00:00 - 26/03/2018 21:00:00","BZN|BG","Without Sequence","55.57","",""
"26/03/2018 21:00:00 - 26/03/2018 22:00:00","BZN|BG","Without Sequence","50.03","",""
"26/03/2018 22:00:00 - 26/03/2018 23:00:00","BZN|BG","Without Sequence","44.08","",""
"26/03/2018 23:00:00 - 27/03/2018 00:00:00","BZN|BG","Without Sequence","44.08","",""
"27/03/2018 00:00:00 - 27/03/2018 01:00:00","BZN|BG","Without Sequence","50.01","",""
"27/03/2018 01:00:00 - 27/03/2018 02:00:00","BZN|BG","Without Sequence","50.01","",""
"27/03/2018 02:00:00 - 27/03/2018 03:00:00","BZN|BG","Without Sequence","46.02","",""
"27/03/2018 03:00:00 - 27/03/2018 04:00:00","BZN|BG","Without Sequence","44.08","",""
"27/03/2018 04:00:00 - 27/03/2018 05:00:00","BZN|BG","Without Sequence","50.03","",""
"27/03/2018 05:00:00 - 27/03/2018 06:00:00","BZN|BG","Without Sequence","50.07","",""
"27/03/2018 06:00:00 - 27/03/2018 07:00:00","BZN|BG","Without Sequence","66.52","",""
"27/03/2018 07:00:00 - 27/03/2018 08:00:00","BZN|BG","Without Sequence","146.75","",""
"27/03/2018 08:00:00 - 27/03/2018 09:00:00","BZN|BG","Without Sequence","168.12","",""
"27/03/2018 09:00:00 - 27/03/2018 10:00:00","BZN|BG","Without Sequence","156.47","",""
"27/03/2018 10:00:00 - 27/03/2018 11:00:00","BZN|BG","Without Sequence","126.15","",""
"27/03/2018 11:00:00 - 27/03/2018 12:00:00","BZN|BG","Without Sequence","50.09","",""
"27/03/2018 12:00:00 - 27/03/2018 13:00:00","BZN|BG","Without Sequence","50.09","",""
"27/03/2018 13:00:00 - 27/03/2018 14:00:00","BZN|BG","Without Sequence","50.07","",""
"27/03/2018 14:00:00 - 27/03/2018 15:00:00","BZN|BG","Without Sequence","50.07","",""
"27/03/2018 15:00:00 - 27/03/2018 16:00:00","BZN|BG","Without Sequence","50.07","",""
"27/03/2018 16:00:00 - 27/03/2018 17:00:00","BZN|BG","Without Sequence","50.07","",""
"27/03/2018 17:00:00 - 27/03/2018 18:00:00","BZN|BG","Without Sequence","76.83","",""
"27/03/2018 18:00:00 - 27/03/2018 19:00:00","BZN|BG","Without Sequence","84.20","",""
"27/03/2018 19:00:00 - 27/03/2018 20:00:00","BZN|BG","Without Sequence","89.97","",""
"27/03/2018 20:00:00 - 27/03/2018 21:00:00","BZN|BG","Without Sequence","101.88","",""
"27/03/2018 21:00:00 - 27/03/2018 22:00:00","BZN|BG","Without Sequence","87.11","",""
"27/03/2018 22:00:00 - 27/03/2018 23:00:00","BZN|BG","Without Sequence","62.68","",""
"27/03/2018 23:00:00 - 28/03/2018 00:00:00","BZN|BG","Without Sequence","50.05","",""
"28/03/2018 00:00:00 - 28/03/2018 01:00:00","BZN|BG","Without Sequence","50.03","",""
"28/03/2018 01:00:00 - 28/03/2018 02:00:00","BZN|BG","Without Sequence","50.01","",""
"28/03/2018 02:00:00 - 28/03/2018 03:00:00","BZN|BG","Without Sequence","50.01","",""
"28/03/2018 03:00:00 - 28/03/2018 04:00:00","BZN|BG","Without Sequence","50.01","",""
"28/03/2018 04:00:00 - 28/03/2018 05:00:00","BZN|BG","Without Sequence","50.03","",""
"28/03/2018 05:00:00 - 28/03/2018 06:00:00","BZN|BG","Without Sequence","50.05","",""
"28/03/2018 06:00:00 - 28/03/2018 07:00:00","BZN|BG","Without Sequence","81.40","",""
"28/03/2018 07:00:00 - 28/03/2018 08:00:00","BZN|BG","Without Sequence","71.29","",""
"28/03/2018 08:00:00 - 28/03/2018 09:00:00","BZN|BG","Without Sequence","106.65","",""
"28/03/2018 09:00:00 - 28/03/2018 10:00:00","BZN|BG","Without Sequence","103.93","",""
"28/03/2018 10:00:00 - 28/03/2018 11:00:00","BZN|BG","Without Sequence","57.79","",""
"28/03/2018 11:00:00 - 28/03/2018 12:00:00","BZN|BG","Without Sequence","62.92","",""
"28/03/2018 12:00:00 - 28/03/2018 13:00:00","BZN|BG","Without Sequence","77.26","",""
"28/03/2018 13:00:00 - 28/03/2018 14:00:00","BZN|BG","Without Sequence","82.11","",""
"28/03/2018 14:00:00 - 28/03/2018 15:00:00","BZN|BG","Without Sequence","80.13","",""
"28/03/2018 15:00:00 - 28/03/2018 16:00:00","BZN|BG","Without Sequence","54.61","",""
"28/03/2018 16:00:00 - 28/03/2018 17:00:00","BZN|BG","Without Sequence","50.89","",""
"28/03/2018 17:00:00 - 28/03/2018 18:00:00","BZN|BG","Without Sequence","68.79","",""
"28/03/2018 18:00:00 - 28/03/2018 19:00:00","BZN|BG","Without Sequence","75.01","",""
"28/03/2018 19:00:00 - 28/03/2018 20:00:00","BZN|BG","Without Sequence","77.00","",""
"28/03/2018 20:00:00 - 28/03/2018 21:00:00","BZN|BG","Without Sequence","75.89","",""
"28/03/2018 21:00:00 - 28/03/2018 22:00:00","BZN|BG","Without Sequence","59.07","",""
"28/03/2018 22:00:00 - 28/03/2018 23:00:00","BZN|BG","Without Sequence","60.85","",""
"28/03/2018 23:00:00 - 29/03/2018 00:00:00","BZN|BG","Without Sequence","48.19","",""
"29/03/2018 00:00:00 - 29/03/2018 01:00:00","BZN|BG","Without Sequence","44.05","",""
"29/03/2018 01:00:00 - 29/03/2018 02:00:00","BZN|BG","Without Sequence","44.03","",""
"29/03/2018 02:00:00 - 29/03/2018 03:00:00","BZN|BG","Without Sequence","44.03","",""
"29/03/2018 03:00:00 - 29/03/2018 04:00:00","BZN|BG","Without Sequence","44.01","",""
"29/03/2018 04:00:00 - 29/03/2018 05:00:00","BZN|BG","Without Sequence","44.05","",""
"29/03/2018 05:00:00 - 29/03/2018 06:00:00","BZN|BG","Without Sequence","45.43","",""
"29/03/2018 06:00:00 - 29/03/2018 07:00:00","BZN|BG","Without Sequence","50.05","",""
"29/03/2018 07:00:00 - 29/03/2018 08:00:00","BZN|BG","Without Sequence","50.07","",""
"29/03/2018 08:00:00 - 29/03/2018 09:00:00","BZN|BG","Without Sequence","53.90","",""
"29/03/2018 09:00:00 - 29/03/2018 10:00:00","BZN|BG","Without Sequence","50.09","",""
"29/03/2018 10:00:00 - 29/03/2018 11:00:00","BZN|BG","Without Sequence","50.09","",""
"29/03/2018 11:00:00 - 29/03/2018 12:00:00","BZN|BG","Without Sequence","50.07","",""
"29/03/2018 12:00:00 - 29/03/2018 13:00:00","BZN|BG","Without Sequence","50.07","",""
"29/03/2018 13:00:00 - 29/03/2018 14:00:00","BZN|BG","Without Sequence","50.09","",""
"29/03/2018 14:00:00 - 29/03/2018 15:00:00","BZN|BG","Without Sequence","50.09","",""
"29/03/2018 15:00:00 - 29/03/2018 16:00:00","BZN|BG","Without Sequence","50.09","",""
"29/03/2018 16:00:00 - 29/03/2018 17:00:00","BZN|BG","Without Sequence","50.07","",""
"29/03/2018 17:00:00 - 29/03/2018 18:00:00","BZN|BG","Without Sequence","50.07","",""
"29/03/2018 18:00:00 - 29/03/2018 19:00:00","BZN|BG","Without Sequence","50.07","",""
"29/03/2018 19:00:00 - 29/03/2018 20:00:00","BZN|BG","Without Sequence","49.66","",""
"29/03/2018 20:00:00 - 29/03/2018 21:00:00","BZN|BG","Without Sequence","50.03","",""
"29/03/2018 21:00:00 - 29/03/2018 22:00:00","BZN|BG","Without Sequence","50.07","",""
"29/03/2018 22:00:00 - 29/03/2018 23:00:00","BZN|BG","Without Sequence","44.10","",""
"29/03/2018 23:00:00 - 30/03/2018 00:00:00","BZN|BG","Without Sequence","44.06","",""
"30/03/2018 00:00:00 - 30/03/2018 01:00:00","BZN|BG","Without Sequence","44.08","",""
"30/03/2018 01:00:00 - 30/03/2018 02:00:00","BZN|BG","Without Sequence","44.08","",""
"30/03/2018 02:00:00 - 30/03/2018 03:00:00","BZN|BG","Without Sequence","44.08","",""
"30/03/2018 03:00:00 - 30/03/2018 04:00:00","BZN|BG","Without Sequence","44.06","",""
"30/03/2018 04:00:00 - 30/03/2018 05:00:00","BZN|BG","Without Sequence","44.08","",""
"30/03/2018 05:00:00 - 30/03/2018 06:00:00","BZN|BG","Without Sequence","50.05","",""
"30/03/2018 06:00:00 - 30/03/2018 07:00:00","BZN|BG","Without Sequence","50.03","",""
"30/03/2018 07:00:00 - 30/03/2018 08:00:00","BZN|BG","Without Sequence","81.40","",""
"30/03/2018 08:00:00 - 30/03/2018 09:00:00","BZN|BG","Without Sequence","85.18","",""
"30/03/2018 09:00:00 - 30/03/2018 10:00:00","BZN|BG","Without Sequence","50.09","",""
"30/03/2018 10:00:00 - 30/03/2018 11:00:00","BZN|BG","Without Sequence","50.07","",""
"30/03/2018 11:00:00 - 30/03/2018 12:00:00","BZN|BG","Without Sequence","50.07","",""
"30/03/2018 12:00:00 - 30/03/2018 13:00:00","BZN|BG","Without Sequence","50.03","",""
"30/03/2018 13:00:00 - 30/03/2018 14:00:00","BZN|BG","Without Sequence","50.01","",""
"30/03/2018 14:00:00 - 30/03/2018 15:00:00","BZN|BG","Without Sequence","44.10","",""
"30/03/2018 15:00:00 - 30/03/2018 16:00:00","BZN|BG","Without Sequence","44.08","",""
"30/03/2018 16:00:00 - 30/03/2018 17:00:00","BZN|BG","Without Sequence","44.06","",""
"30/03/2018 17:00:00 - 30/03/2018 18:00:00","BZN|BG","Without Sequence","44.05","",""
"30/03/2018 18:00:00 - 30/03/2018 19:00:00","BZN|BG","Without Sequence","44.81","",""
"30/03/2018 19:00:00 - 30/03/2018 20:00:00","BZN|BG","Without Sequence","51.50","",""
"30/03/2018 20:00:00 - 30/03/2018 21:00:00","BZN|BG","Without Sequence","44.20","",""
"30/03/2018 21:00:00 - 30/03/2018 22:00:00","BZN|BG","Without Sequence","44.03","",""
"30/03/2018 22:00:00 - 30/03/2018 23:00:00","BZN|BG","Without Sequence","44.01","",""
"30/03/2018 23:00:00 - 31/03/2018 00:00:00","BZN|BG","Without Sequence","37.30","",""
"31/03/2018 00:00:00 - 31/03/2018 01:00:00","BZN|BG","Without Sequence","23.29","",""
"31/03/2018 01:00:00 - 31/03/2018 02:00:00","BZN|BG","Without Sequence","16.43","",""
"31/03/2018 02:00:00 - 31/03/2018 03:00:00","BZN|BG","Without Sequence","19.68","",""
"31/03/2018 03:00:00 - 31/03/2018 04:00:00","BZN|BG","Without Sequence","20.44","",""
"31/03/2018 04:00:00 - 31/03/2018 05:00:00","BZN|BG","Without Sequence","19.56","",""
"31/03/2018 05:00:00 - 31/03/2018 06:00:00","BZN|BG","Without Sequence","19.56","",""
"31/03/2018 06:00:00 - 31/03/2018 07:00:00","BZN|BG","Without Sequence","31.02","",""
"31/03/2018 07:00:00 - 31/03/2018 08:00:00","BZN|BG","Without Sequence","43.09","",""
"31/03/2018 08:00:00 - 31/03/2018 09:00:00","BZN|BG","Without Sequence","44.01","",""
"31/03/2018 09:00:00 - 31/03/2018 10:00:00","BZN|BG","Without Sequence","44.03","",""
"31/03/2018 10:00:00 - 31/03/2018 11:00:00","BZN|BG","Without Sequence","44.05","",""
"31/03/2018 11:00:00 - 31/03/2018 12:00:00","BZN|BG","Without Sequence","44.03","",""
"31/03/2018 12:00:00 - 31/03/2018 13:00:00","BZN|BG","Without Sequence","44.03","",""
"31/03/2018 13:00:00 - 31/03/2018 14:00:00","BZN|BG","Without Sequence","37.00","",""
"31/03/2018 14:00:00 - 31/03/2018 15:00:00","BZN|BG","Without Sequence","44.01","",""
"31/03/2018 15:00:00 - 31/03/2018 16:00:00","BZN|BG","Without Sequence","35.09","",""
"31/03/2018 16:00:00 - 31/03/2018 17:00:00","BZN|BG","Without Sequence","35.17","",""
"31/03/2018 17:00:00 - 31/03/2018 18:00:00","BZN|BG","Without Sequence","44.03","",""
"31/03/2018 18:00:00 - 31/03/2018 19:00:00","BZN|BG","Without Sequence","44.06","",""
"31/03/2018 19:00:00 - 31/03/2018 20:00:00","BZN|BG","Without Sequence","44.08","",""
"31/03/2018 20:00:00 - 31/03/2018 21:00:00","BZN|BG","Without Sequence","44.06","",""
"31/03/2018 21:00:00 - 31/03/2018 22:00:00","BZN|BG","Without Sequence","44.03","",""
"31/03/2018 22:00:00 - 31/03/2018 23:00:00","BZN|BG","Without Sequence","44.01","",""
"31/03/2018 23:00:00 - 01/04/2018 00:00:00","BZN|BG","Without Sequence","31.80","",""
"01/04/2018 00:00:00 - 01/04/2018 01:00:00","BZN|BG","Without Sequence","39.19","",""
"01/04/2018 01:00:00 - 01/04/2018 02:00:00","BZN|BG","Without Sequence","36.69","",""
"01/04/2018 02:00:00 - 01/04/2018 03:00:00","BZN|BG","Without Sequence","32.55","",""
"01/04/2018 03:00:00 - 01/04/2018 04:00:00","BZN|BG","Without Sequence","32.92","",""
"01/04/2018 04:00:00 - 01/04/2018 05:00:00","BZN|BG","Without Sequence","32.39","",""
"01/04/2018 05:00:00 - 01/04/2018 06:00:00","BZN|BG","Without Sequence","32.35","",""
"01/04/2018 06:00:00 - 01/04/2018 07:00:00","BZN|BG","Without Sequence","23.02","",""
"01/04/2018 07:00:00 - 01/04/2018 08:00:00","BZN|BG","Without Sequence","25.00","",""
"01/04/2018 08:00:00 - 01/04/2018 09:00:00","BZN|BG","Without Sequence","29.30","",""
"01/04/2018 09:00:00 - 01/04/2018 10:00:00","BZN|BG","Without Sequence","39.25","",""
"01/04/2018 10:00:00 - 01/04/2018 11:00:00","BZN|BG","Without Sequence","44.01","",""
"01/04/2018 11:00:00 - 01/04/2018 12:00:00","BZN|BG","Without Sequence","44.01","",""
"01/04/2018 12:00:00 - 01/04/2018 13:00:00","BZN|BG","Without Sequence","44.01","",""
"01/04/2018 13:00:00 - 01/04/2018 14:00:00","BZN|BG","Without Sequence","35.24","",""
"01/04/2018 14:00:00 - 01/04/2018 15:00:00","BZN|BG","Without Sequence","35.20","",""
"01/04/2018 15:00:00 - 01/04/2018 16:00:00","BZN|BG","Without Sequence","35.26","",""
"01/04/2018 16:00:00 - 01/04/2018 17:00:00","BZN|BG","Without Sequence","35.24","",""
"01/04/2018 17:00:00 - 01/04/2018 18:00:00","BZN|BG","Without Sequence","44.03","",""
"01/04/2018 18:00:00 - 01/04/2018 19:00:00","BZN|BG","Without Sequence","44.03","",""
"01/04/2018 19:00:00 - 01/04/2018 20:00:00","BZN|BG","Without Sequence","48.37","",""
"01/04/2018 20:00:00 - 01/04/2018 21:00:00","BZN|BG","Without Sequence","50.05","",""
"01/04/2018 21:00:00 - 01/04/2018 22:00:00","BZN|BG","Without Sequence","45.14","",""
"01/04/2018 22:00:00 - 01/04/2018 23:00:00","BZN|BG","Without Sequence","45.08","",""
"01/04/2018 23:00:00 - 02/04/2018 00:00:00","BZN|BG","Without Sequence","44.08","",""
"02/04/2018 00:00:00 - 02/04/2018 01:00:00","BZN|BG","Without Sequence","29.45","",""
"02/04/2018 01:00:00 - 02/04/2018 02:00:00","BZN|BG","Without Sequence","29.42","",""
"02/04/2018 02:00:00 - 02/04/2018 03:00:00","BZN|BG","Without Sequence","29.36","",""
"02/04/2018 03:00:00 - 02/04/2018 04:00:00","BZN|BG","Without Sequence","29.36","",""
"02/04/2018 04:00:00 - 02/04/2018 05:00:00","BZN|BG","Without Sequence","41.19","",""
"02/04/2018 05:00:00 - 02/04/2018 06:00:00","BZN|BG","Without Sequence","44.05","",""
"02/04/2018 06:00:00 - 02/04/2018 07:00:00","BZN|BG","Without Sequence","44.08","",""
"02/04/2018 07:00:00 - 02/04/2018 08:00:00","BZN|BG","Without Sequence","50.07","",""
"02/04/2018 08:00:00 - 02/04/2018 09:00:00","BZN|BG","Without Sequence","50.09","",""
"02/04/2018 09:00:00 - 02/04/2018 10:00:00","BZN|BG","Without Sequence","50.09","",""
"02/04/2018 10:00:00 - 02/04/2018 11:00:00","BZN|BG","Without Sequence","50.07","",""
"02/04/2018 11:00:00 - 02/04/2018 12:00:00","BZN|BG","Without Sequence","50.03","",""
"02/04/2018 12:00:00 - 02/04/2018 13:00:00","BZN|BG","Without Sequence","50.05","",""
"02/04/2018 13:00:00 - 02/04/2018 14:00:00","BZN|BG","Without Sequence","50.03","",""
"02/04/2018 14:00:00 - 02/04/2018 15:00:00","BZN|BG","Without Sequence","50.03","",""
