"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (BGN/MWh)","Intraday Period (CET/CEST)","Intraday Price (BGN/MWh)"
"03/01/2018 14:00:00 - 03/01/2018 15:00:00","BZN|BG","Without Sequence","85.04","",""
"03/01/2018 15:00:00 - 03/01/2018 16:00:00","BZN|BG","Without Sequence","85.06","",""
"03/01/2018 16:00:00 - 03/01/2018 17:00:00","BZN|BG","Without Sequence","85.02","",""
"03/01/2018 17:00:00 - 03/01/2018 18:00:00","BZN|BG","Without Sequence","85.02","",""
"03/01/2018 18:00:00 - 03/01/2018 19:00:00","BZN|BG","Without Sequence","64.41","",""
"03/01/2018 19:00:00 - 03/01/2018 20:00:00","BZN|BG","Without Sequence","44.10","",""
"03/01/2018 20:00:00 - 03/01/2018 21:00:00","BZN|BG","Without Sequence","44.10","",""
"03/01/2018 21:00:00 - 03/01/2018 22:00:00","BZN|BG","Without Sequence","83.55","",""
"03/01/2018 22:00:00 - 03/01/2018 23:00:00","BZN|BG","Without Sequence","85.02","",""
"03/01/2018 23:00:00 - 04/01/2018 00:00:00","BZN|BG","Without Sequence","44.06","",""
"04/01/2018 00:00:00 - 04/01/2018 01:00:00","BZN|BG","Without Sequence","44.06","",""
"04/01/2018 01:00:00 - 04/01/2018 02:00:00","BZN|BG","Without Sequence","44.03","",""
"04/01/2018 02:00:00 - 04/01/2018 03:00:00","BZN|BG","Without Sequence","44.03","",""
"04/01/2018 03:00:00 - 04/01/2018 04:00:00","BZN|BG","Without Sequence","44.03","",""
"04/01/2018 04:00:00 - 04/01/2018 05:00:00","BZN|BG","Without Sequence","44.05","",""
"04/01/2018 05:00:00 - 04/01/2018 06:00:00","BZN|BG","Without Sequence","85.04","",""
"04/01/2018 06:00:00 - 04/01/2018 07:00:00","BZN|BG","Without Sequence","85.04","",""
"04/01/2018 07:00:00 - 04/01/2018 08:00:00","BZN|BG","Without Sequence","97.91","",""
"04/01/2018 08:00:00 - 04/01/2018 09:00:00","BZN|BG","Without Sequence","184.65","",""
"04/01/2018 09:00:00 - 04/01/2018 10:00:00","BZN|BG","Without Sequence","189.48","",""
"04/01/2018 10:00:00 - 04/01/2018 11:00:00","BZN|BG","Without Sequence","85.10","",""
"04/01/2018 11:00:00 - 04/01/2018 12:00:00","BZN|BG","Without Sequence","85.10","",""
"04/01/2018 12:00:00 - 04/01/2018 13:00:00","BZN|BG","Without Sequence","86.17","",""
"04/01/2018 13:00:00 - 04/01/2018 14:00:00","BZN|BG","Without Sequence","85.10","",""
"04/01/2018 14:00:00 - 04/01/2018 15:00:00","BZN|BG","Without Sequence","94.04","",""
"04/01/2018 15:00:00 - 04/01/2018 16:00:00","BZN|BG","Without Sequence","93.82","",""
"04/01/2018 16:00:00 - 04/01/2018 17:00:00","BZN|BG","Without Sequence","85.10","",""
"04/01/2018 17:00:00 - 04/01/2018 18:00:00","BZN|BG","Without Sequence","89.40","",""
"04/01/2018 18:00:00 - 04/01/2018 19:00:00","BZN|BG","Without Sequence","86.86","",""
"04/01/2018 19:00:00 - 04/01/2018 20:00:00","BZN|BG","Without Sequence","85.02","",""
"04/01/2018 20:00:00 - 04/01/2018 21:00:00","BZN|BG","Without Sequence","85.04","",""
"04/01/2018 21:00:00 - 04/01/2018 22:00:00","BZN|BG","Without Sequence","44.50","",""
"04/01/2018 22:00:00 - 04/01/2018 23:00:00","BZN|BG","Without Sequence","59.05","",""
"04/01/2018 23:00:00 - 05/01/2018 00:00:00","BZN|BG","Without Sequence","85.00","",""
"05/01/2018 00:00:00 - 05/01/2018 01:00:00","BZN|BG","Without Sequence","44.06","",""
"05/01/2018 01:00:00 - 05/01/2018 02:00:00","BZN|BG","Without Sequence","44.05","",""
"05/01/2018 02:00:00 - 05/01/2018 03:00:00","BZN|BG","Without Sequence","44.03","",""
"05/01/2018 03:00:00 - 05/01/2018 04:00:00","BZN|BG","Without Sequence","44.05","",""
"05/01/2018 04:00:00 - 05/01/2018 05:00:00","BZN|BG","Without Sequence","44.05","",""
"05/01/2018 05:00:00 - 05/01/2018 06:00:00","BZN|BG","Without Sequence","78.23","",""
"05/01/2018 06:00:00 - 05/01/2018 07:00:00","BZN|BG","Without Sequence","85.02","",""
"05/01/2018 07:00:00 - 05/01/2018 08:00:00","BZN|BG","Without Sequence","85.06","",""
"05/01/2018 08:00:00 - 05/01/2018 09:00:00","BZN|BG","Without Sequence","85.08","",""
"05/01/2018 09:00:00 - 05/01/2018 10:00:00","BZN|BG","Without Sequence","85.08","",""
"05/01/2018 10:00:00 - 05/01/2018 11:00:00","BZN|BG","Without Sequence","85.08","",""
"05/01/2018 11:00:00 - 05/01/2018 12:00:00","BZN|BG","Without Sequence","85.06","",""
"05/01/2018 12:00:00 - 05/01/2018 13:00:00","BZN|BG","Without Sequence","85.08","",""
"05/01/2018 13:00:00 - 05/01/2018 14:00:00","BZN|BG","Without Sequence","85.06","",""
"05/01/2018 14:00:00 - 05/01/2018 15:00:00","BZN|BG","Without Sequence","85.04","",""
"05/01/2018 15:00:00 - 05/01/2018 16:00:00","BZN|BG","Without Sequence","75.10","",""
"05/01/2018 16:00:00 - 05/01/2018 17:00:00","BZN|BG","Without Sequence","85.06","",""
"05/01/2018 17:00:00 - 05/01/2018 18:00:00","BZN|BG","Without Sequence","117.35","",""
"05/01/2018 18:00:00 - 05/01/2018 19:00:00","BZN|BG","Without Sequence","85.24","",""
"05/01/2018 19:00:00 - 05/01/2018 20:00:00","BZN|BG","Without Sequence","85.00","",""
"05/01/2018 20:00:00 - 05/01/2018 21:00:00","BZN|BG","Without Sequence","70.18","",""
"05/01/2018 21:00:00 - 05/01/2018 22:00:00","BZN|BG","Without Sequence","58.60","",""
"05/01/2018 22:00:00 - 05/01/2018 23:00:00","BZN|BG","Without Sequence","70.37","",""
"05/01/2018 23:00:00 - 06/01/2018 00:00:00","BZN|BG","Without Sequence","63.10","",""
"06/01/2018 00:00:00 - 06/01/2018 01:00:00","BZN|BG","Without Sequence","55.78","",""
"06/01/2018 01:00:00 - 06/01/2018 02:00:00","BZN|BG","Without Sequence","70.88","",""
"06/01/2018 02:00:00 - 06/01/2018 03:00:00","BZN|BG","Without Sequence","44.94","",""
"06/01/2018 03:00:00 - 06/01/2018 04:00:00","BZN|BG","Without Sequence","58.93","",""
"06/01/2018 04:00:00 - 06/01/2018 05:00:00","BZN|BG","Without Sequence","63.04","",""
"06/01/2018 05:00:00 - 06/01/2018 06:00:00","BZN|BG","Without Sequence","55.74","",""
"06/01/2018 06:00:00 - 06/01/2018 07:00:00","BZN|BG","Without Sequence","73.46","",""
"06/01/2018 07:00:00 - 06/01/2018 08:00:00","BZN|BG","Without Sequence","80.01","",""
"06/01/2018 08:00:00 - 06/01/2018 09:00:00","BZN|BG","Without Sequence","80.07","",""
"06/01/2018 09:00:00 - 06/01/2018 10:00:00","BZN|BG","Without Sequence","80.09","",""
"06/01/2018 10:00:00 - 06/01/2018 11:00:00","BZN|BG","Without Sequence","80.07","",""
"06/01/2018 11:00:00 - 06/01/2018 12:00:00","BZN|BG","Without Sequence","80.05","",""
"06/01/2018 12:00:00 - 06/01/2018 13:00:00","BZN|BG","Without Sequence","80.05","",""
"06/01/2018 13:00:00 - 06/01/2018 14:00:00","BZN|BG","Without Sequence","80.07","",""
"06/01/2018 14:00:00 - 06/01/2018 15:00:00","BZN|BG","Without Sequence","80.07","",""
"06/01/2018 15:00:00 - 06/01/2018 16:00:00","BZN|BG","Without Sequence","80.05","",""
"06/01/2018 16:00:00 - 06/01/2018 17:00:00","BZN|BG","Without Sequence","80.09","",""
"06/01/2018 17:00:00 - 06/01/2018 18:00:00","BZN|BG","Without Sequence","80.07","",""
"06/01/2018 18:00:00 - 06/01/2018 19:00:00","BZN|BG","Without Sequence","80.05","",""
"06/01/2018 19:00:00 - 06/01/2018 20:00:00","BZN|BG","Without Sequence","80.03","",""
"06/01/2018 20:00:00 - 06/01/2018 21:00:00","BZN|BG","Without Sequence","64.52","",""
"06/01/2018 21:00:00 - 06/01/2018 22:00:00","BZN|BG","Without Sequence","58.60","",""
"06/01/2018 22:00:00 - 06/01/2018 23:00:00","BZN|BG","Without Sequence","70.31","",""
"06/01/2018 23:00:00 - 07/01/2018 00:00:00","BZN|BG","Without Sequence","57.58","",""
"07/01/2018 00:00:00 - 07/01/2018 01:00:00","BZN|BG","Without Sequence","44.08","",""
"07/01/2018 01:00:00 - 07/01/2018 02:00:00","BZN|BG","Without Sequence","44.06","",""
"07/01/2018 02:00:00 - 07/01/2018 03:00:00","BZN|BG","Without Sequence","44.06","",""
"07/01/2018 03:00:00 - 07/01/2018 04:00:00","BZN|BG","Without Sequence","44.06","",""
"07/01/2018 04:00:00 - 07/01/2018 05:00:00","BZN|BG","Without Sequence","44.08","",""
"07/01/2018 05:00:00 - 07/01/2018 06:00:00","BZN|BG","Without Sequence","44.08","",""
"07/01/2018 06:00:00 - 07/01/2018 07:00:00","BZN|BG","Without Sequence","44.08","",""
"07/01/2018 07:00:00 - 07/01/2018 08:00:00","BZN|BG","Without Sequence","44.08","",""
"07/01/2018 08:00:00 - 07/01/2018 09:00:00","BZN|BG","Without Sequence","80.01","",""
"07/01/2018 09:00:00 - 07/01/2018 10:00:00","BZN|BG","Without Sequence","79.99","",""
"07/01/2018 10:00:00 - 07/01/2018 11:00:00","BZN|BG","Without Sequence","80.01","",""
"07/01/2018 11:00:00 - 07/01/2018 12:00:00","BZN|BG","Without Sequence","69.51","",""
"07/01/2018 12:00:00 - 07/01/2018 13:00:00","BZN|BG","Without Sequence","79.58","",""
"07/01/2018 13:00:00 - 07/01/2018 14:00:00","BZN|BG","Without Sequence","80.01","",""
"07/01/2018 14:00:00 - 07/01/2018 15:00:00","BZN|BG","Without Sequence","80.01","",""
"07/01/2018 15:00:00 - 07/01/2018 16:00:00","BZN|BG","Without Sequence","80.01","",""
"07/01/2018 16:00:00 - 07/01/2018 17:00:00","BZN|BG","Without Sequence","80.03","",""
"07/01/2018 17:00:00 - 07/01/2018 18:00:00","BZN|BG","Without Sequence","80.03","",""
"07/01/2018 18:00:00 - 07/01/2018 19:00:00","BZN|BG","Without Sequence","80.03","",""
"07/01/2018 19:00:00 - 07/01/2018 20:00:00","BZN|BG","Without Sequence","80.01","",""
"07/01/2018 20:00:00 - 07/01/2018 21:00:00","BZN|BG","Without Sequence","80.01","",""
"07/01/2018 21:00:00 - 07/01/2018 22:00:00","BZN|BG","Without Sequence","79.99","",""
"07/01/2018 22:00:00 - 07/01/2018 23:00:00","BZN|BG","Without Sequence","49.62","",""
"07/01/2018 23:00:00 - 08/01/2018 00:00:00","BZN|BG","Without Sequence","69.96","",""
"08/01/2018 00:00:00 - 08/01/2018 01:00:00","BZN|BG","Without Sequence","44.08","",""
"08/01/2018 01:00:00 - 08/01/2018 02:00:00","BZN|BG","Without Sequence","44.06","",""
"08/01/2018 02:00:00 - 08/01/2018 03:00:00","BZN|BG","Without Sequence","44.06","",""
"08/01/2018 03:00:00 - 08/01/2018 04:00:00","BZN|BG","Without Sequence","44.06","",""
"08/01/2018 04:00:00 - 08/01/2018 05:00:00","BZN|BG","Without Sequence","44.08","",""
"08/01/2018 05:00:00 - 08/01/2018 06:00:00","BZN|BG","Without Sequence","75.08","",""
"08/01/2018 06:00:00 - 08/01/2018 07:00:00","BZN|BG","Without Sequence","75.03","",""
"08/01/2018 07:00:00 - 08/01/2018 08:00:00","BZN|BG","Without Sequence","80.03","",""
"08/01/2018 08:00:00 - 08/01/2018 09:00:00","BZN|BG","Without Sequence","80.07","",""
"08/01/2018 09:00:00 - 08/01/2018 10:00:00","BZN|BG","Without Sequence","80.07","",""
"08/01/2018 10:00:00 - 08/01/2018 11:00:00","BZN|BG","Without Sequence","80.05","",""
"08/01/2018 11:00:00 - 08/01/2018 12:00:00","BZN|BG","Without Sequence","80.03","",""
"08/01/2018 12:00:00 - 08/01/2018 13:00:00","BZN|BG","Without Sequence","80.05","",""
"08/01/2018 13:00:00 - 08/01/2018 14:00:00","BZN|BG","Without Sequence","80.05","",""
"08/01/2018 14:00:00 - 08/01/2018 15:00:00","BZN|BG","Without Sequence","80.05","",""
"08/01/2018 15:00:00 - 08/01/2018 16:00:00","BZN|BG","Without Sequence","80.03","",""
"08/01/2018 16:00:00 - 08/01/2018 17:00:00","BZN|BG","Without Sequence","80.01","",""
"08/01/2018 17:00:00 - 08/01/2018 18:00:00","BZN|BG","Without Sequence","80.03","",""
"08/01/2018 18:00:00 - 08/01/2018 19:00:00","BZN|BG","Without Sequence","74.15","",""
"08/01/2018 19:00:00 - 08/01/2018 20:00:00","BZN|BG","Without Sequence","66.07","",""
"08/01/2018 20:00:00 - 08/01/2018 21:00:00","BZN|BG","Without Sequence","62.55","",""
"08/01/2018 21:00:00 - 08/01/2018 22:00:00","BZN|BG","Without Sequence","62.47","",""
"08/01/2018 22:00:00 - 08/01/2018 23:00:00","BZN|BG","Without Sequence","47.68","",""
"08/01/2018 23:00:00 - 09/01/2018 00:00:00","BZN|BG","Without Sequence","44.08","",""
"09/01/2018 00:00:00 - 09/01/2018 01:00:00","BZN|BG","Without Sequence","44.01","",""
"09/01/2018 01:00:00 - 09/01/2018 02:00:00","BZN|BG","Without Sequence","44.01","",""
"09/01/2018 02:00:00 - 09/01/2018 03:00:00","BZN|BG","Without Sequence","44.01","",""
"09/01/2018 03:00:00 - 09/01/2018 04:00:00","BZN|BG","Without Sequence","44.03","",""
"09/01/2018 04:00:00 - 09/01/2018 05:00:00","BZN|BG","Without Sequence","44.05","",""
"09/01/2018 05:00:00 - 09/01/2018 06:00:00","BZN|BG","Without Sequence","44.06","",""
"09/01/2018 06:00:00 - 09/01/2018 07:00:00","BZN|BG","Without Sequence","44.10","",""
"09/01/2018 07:00:00 - 09/01/2018 08:00:00","BZN|BG","Without Sequence","80.09","",""
"09/01/2018 08:00:00 - 09/01/2018 09:00:00","BZN|BG","Without Sequence","105.89","",""
"09/01/2018 09:00:00 - 09/01/2018 10:00:00","BZN|BG","Without Sequence","80.07","",""
"09/01/2018 10:00:00 - 09/01/2018 11:00:00","BZN|BG","Without Sequence","80.03","",""
"09/01/2018 11:00:00 - 09/01/2018 12:00:00","BZN|BG","Without Sequence","80.01","",""
"09/01/2018 12:00:00 - 09/01/2018 13:00:00","BZN|BG","Without Sequence","80.03","",""
"09/01/2018 13:00:00 - 09/01/2018 14:00:00","BZN|BG","Without Sequence","80.03","",""
"09/01/2018 14:00:00 - 09/01/2018 15:00:00","BZN|BG","Without Sequence","80.05","",""
"09/01/2018 15:00:00 - 09/01/2018 16:00:00","BZN|BG","Without Sequence","80.03","",""
"09/01/2018 16:00:00 - 09/01/2018 17:00:00","BZN|BG","Without Sequence","74.50","",""
"09/01/2018 17:00:00 - 09/01/2018 18:00:00","BZN|BG","Without Sequence","80.03","",""
"09/01/2018 18:00:00 - 09/01/2018 19:00:00","BZN|BG","Without Sequence","80.03","",""
"09/01/2018 19:00:00 - 09/01/2018 20:00:00","BZN|BG","Without Sequence","70.94","",""
"09/01/2018 20:00:00 - 09/01/2018 21:00:00","BZN|BG","Without Sequence","62.55","",""
"09/01/2018 21:00:00 - 09/01/2018 22:00:00","BZN|BG","Without Sequence","58.46","",""
"09/01/2018 22:00:00 - 09/01/2018 23:00:00","BZN|BG","Without Sequence","68.38","",""
"09/01/2018 23:00:00 - 10/01/2018 00:00:00","BZN|BG","Without Sequence","44.08","",""
"10/01/2018 00:00:00 - 10/01/2018 01:00:00","BZN|BG","Without Sequence","44.08","",""
"10/01/2018 01:00:00 - 10/01/2018 02:00:00","BZN|BG","Without Sequence","44.08","",""
"10/01/2018 02:00:00 - 10/01/2018 03:00:00","BZN|BG","Without Sequence","44.08","",""
"10/01/2018 03:00:00 - 10/01/2018 04:00:00","BZN|BG","Without Sequence","44.08","",""
"10/01/2018 04:00:00 - 10/01/2018 05:00:00","BZN|BG","Without Sequence","44.10","",""
"10/01/2018 05:00:00 - 10/01/2018 06:00:00","BZN|BG","Without Sequence","56.91","",""
"10/01/2018 06:00:00 - 10/01/2018 07:00:00","BZN|BG","Without Sequence","79.93","",""
"10/01/2018 07:00:00 - 10/01/2018 08:00:00","BZN|BG","Without Sequence","95.09","",""
"10/01/2018 08:00:00 - 10/01/2018 09:00:00","BZN|BG","Without Sequence","99.47","",""
"10/01/2018 09:00:00 - 10/01/2018 10:00:00","BZN|BG","Without Sequence","95.07","",""
"10/01/2018 10:00:00 - 10/01/2018 11:00:00","BZN|BG","Without Sequence","95.07","",""
"10/01/2018 11:00:00 - 10/01/2018 12:00:00","BZN|BG","Without Sequence","95.05","",""
"10/01/2018 12:00:00 - 10/01/2018 13:00:00","BZN|BG","Without Sequence","95.07","",""
"10/01/2018 13:00:00 - 10/01/2018 14:00:00","BZN|BG","Without Sequence","95.07","",""
"10/01/2018 14:00:00 - 10/01/2018 15:00:00","BZN|BG","Without Sequence","95.07","",""
"10/01/2018 15:00:00 - 10/01/2018 16:00:00","BZN|BG","Without Sequence","95.05","",""
"10/01/2018 16:00:00 - 10/01/2018 17:00:00","BZN|BG","Without Sequence","95.01","",""
"10/01/2018 17:00:00 - 10/01/2018 18:00:00","BZN|BG","Without Sequence","93.39","",""
"10/01/2018 18:00:00 - 10/01/2018 19:00:00","BZN|BG","Without Sequence","87.52","",""
"10/01/2018 19:00:00 - 10/01/2018 20:00:00","BZN|BG","Without Sequence","80.03","",""
"10/01/2018 20:00:00 - 10/01/2018 21:00:00","BZN|BG","Without Sequence","80.07","",""
"10/01/2018 21:00:00 - 10/01/2018 22:00:00","BZN|BG","Without Sequence","74.05","",""
"10/01/2018 22:00:00 - 10/01/2018 23:00:00","BZN|BG","Without Sequence","67.57","",""
"10/01/2018 23:00:00 - 11/01/2018 00:00:00","BZN|BG","Without Sequence","60.47","",""
"11/01/2018 00:00:00 - 11/01/2018 01:00:00","BZN|BG","Without Sequence","56.74","",""
"11/01/2018 01:00:00 - 11/01/2018 02:00:00","BZN|BG","Without Sequence","52.12","",""
"11/01/2018 02:00:00 - 11/01/2018 03:00:00","BZN|BG","Without Sequence","49.97","",""
"11/01/2018 03:00:00 - 11/01/2018 04:00:00","BZN|BG","Without Sequence","50.19","",""
"11/01/2018 04:00:00 - 11/01/2018 05:00:00","BZN|BG","Without Sequence","76.28","",""
"11/01/2018 05:00:00 - 11/01/2018 06:00:00","BZN|BG","Without Sequence","80.01","",""
"11/01/2018 06:00:00 - 11/01/2018 07:00:00","BZN|BG","Without Sequence","83.01","",""
"11/01/2018 07:00:00 - 11/01/2018 08:00:00","BZN|BG","Without Sequence","95.07","",""
"11/01/2018 08:00:00 - 11/01/2018 09:00:00","BZN|BG","Without Sequence","117.43","",""
"11/01/2018 09:00:00 - 11/01/2018 10:00:00","BZN|BG","Without Sequence","97.65","",""
"11/01/2018 10:00:00 - 11/01/2018 11:00:00","BZN|BG","Without Sequence","97.65","",""
"11/01/2018 11:00:00 - 11/01/2018 12:00:00","BZN|BG","Without Sequence","95.09","",""
"11/01/2018 12:00:00 - 11/01/2018 13:00:00","BZN|BG","Without Sequence","95.09","",""
