"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2024 00:00:00 - 01/01/2024 01:00:00","BZN|BG","Without Sequence","0.10","",""
"01/01/2024 01:00:00 - 01/01/2024 02:00:00","BZN|BG","Without Sequence","0.01","",""
"01/01/2024 02:00:00 - 01/01/2024 03:00:00","BZN|BG","Without Sequence","0.04","",""
"01/01/2024 03:00:00 - 01/01/2024 04:00:00","BZN|BG","Without Sequence","0.01","",""
"01/01/2024 04:00:00 - 01/01/2024 05:00:00","BZN|BG","Without Sequence","0.01","",""
"01/01/2024 05:00:00 - 01/01/2024 06:00:00","BZN|BG","Without Sequence","0.01","",""
"01/01/2024 06:00:00 - 01/01/2024 07:00:00","BZN|BG","Without Sequence","0.04","",""
"01/01/2024 07:00:00 - 01/01/2024 08:00:00","BZN|BG","Without Sequence","0.01","",""
"01/01/2024 08:00:00 - 01/01/2024 09:00:00","BZN|BG","Without Sequence","0.01","",""
"01/01/2024 09:00:00 - 01/01/2024 10:00:00","BZN|BG","Without Sequence","0.04","",""
"01/01/2024 10:00:00 - 01/01/2024 11:00:00","BZN|BG","Without Sequence","0.06","",""
"01/01/2024 11:00:00 - 01/01/2024 12:00:00","BZN|BG","Without Sequence","0.54","",""
"01/01/2024 12:00:00 - 01/01/2024 13:00:00","BZN|BG","Without Sequence","2.24","",""
"01/01/2024 13:00:00 - 01/01/2024 14:00:00","BZN|BG","Without Sequence","3.24","",""
"01/01/2024 14:00:00 - 01/01/2024 15:00:00","BZN|BG","Without Sequence","9.85","",""
"01/01/2024 15:00:00 - 01/01/2024 16:00:00","BZN|BG","Without Sequence","39.22","",""
"01/01/2024 16:00:00 - 01/01/2024 17:00:00","BZN|BG","Without Sequence","53.13","",""
"01/01/2024 17:00:00 - 01/01/2024 18:00:00","BZN|BG","Without Sequence","61.37","",""
"01/01/2024 18:00:00 - 01/01/2024 19:00:00","BZN|BG","Without Sequence","60.67","",""
"01/01/2024 19:00:00 - 01/01/2024 20:00:00","BZN|BG","Without Sequence","65.00","",""
"01/01/2024 20:00:00 - 01/01/2024 21:00:00","BZN|BG","Without Sequence","50.01","",""
"01/01/2024 21:00:00 - 01/01/2024 22:00:00","BZN|BG","Without Sequence","50.01","",""
"01/01/2024 22:00:00 - 01/01/2024 23:00:00","BZN|BG","Without Sequence","43.00","",""
"01/01/2024 23:00:00 - 02/01/2024 00:00:00","BZN|BG","Without Sequence","35.55","",""
"02/01/2024 00:00:00 - 02/01/2024 01:00:00","BZN|BG","Without Sequence","29.38","",""
"02/01/2024 01:00:00 - 02/01/2024 02:00:00","BZN|BG","Without Sequence","19.64","",""
"02/01/2024 02:00:00 - 02/01/2024 03:00:00","BZN|BG","Without Sequence","27.65","",""
"02/01/2024 03:00:00 - 02/01/2024 04:00:00","BZN|BG","Without Sequence","16.38","",""
"02/01/2024 04:00:00 - 02/01/2024 05:00:00","BZN|BG","Without Sequence","9.85","",""
"02/01/2024 05:00:00 - 02/01/2024 06:00:00","BZN|BG","Without Sequence","65.02","",""
"02/01/2024 06:00:00 - 02/01/2024 07:00:00","BZN|BG","Without Sequence","108.28","",""
"02/01/2024 07:00:00 - 02/01/2024 08:00:00","BZN|BG","Without Sequence","113.85","",""
"02/01/2024 08:00:00 - 02/01/2024 09:00:00","BZN|BG","Without Sequence","107.42","",""
"02/01/2024 09:00:00 - 02/01/2024 10:00:00","BZN|BG","Without Sequence","76.35","",""
"02/01/2024 10:00:00 - 02/01/2024 11:00:00","BZN|BG","Without Sequence","75.60","",""
"02/01/2024 11:00:00 - 02/01/2024 12:00:00","BZN|BG","Without Sequence","77.87","",""
"02/01/2024 12:00:00 - 02/01/2024 13:00:00","BZN|BG","Without Sequence","80.27","",""
"02/01/2024 13:00:00 - 02/01/2024 14:00:00","BZN|BG","Without Sequence","81.27","",""
"02/01/2024 14:00:00 - 02/01/2024 15:00:00","BZN|BG","Without Sequence","85.03","",""
"02/01/2024 15:00:00 - 02/01/2024 16:00:00","BZN|BG","Without Sequence","102.56","",""
"02/01/2024 16:00:00 - 02/01/2024 17:00:00","BZN|BG","Without Sequence","87.85","",""
"02/01/2024 17:00:00 - 02/01/2024 18:00:00","BZN|BG","Without Sequence","86.04","",""
