"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (BGN/MWh)","Intraday Period (CET/CEST)","Intraday Price (BGN/MWh)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|BG","Without Sequence","120.94","",""
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|BG","Without Sequence","80.84","",""
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|BG","Without Sequence","84.27","",""
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|BG","Without Sequence","88.92","",""
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|BG","Without Sequence","73.68","",""
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|BG","Without Sequence","77.65","",""
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|BG","Without Sequence","79.38","",""
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|BG","Without Sequence","84.22","",""
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|BG","Without Sequence","79.44","",""
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|BG","Without Sequence","85.10","",""
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|BG","Without Sequence","89.89","",""
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|BG","Without Sequence","122.13","",""
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|BG","Without Sequence","126.04","",""
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|BG","Without Sequence","125.10","",""
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|BG","Without Sequence","156.35","",""
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|BG","Without Sequence","197.54","",""
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|BG","Without Sequence","238.33","",""
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|BG","Without Sequence","238.36","",""
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|BG","Without Sequence","238.38","",""
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|BG","Without Sequence","267.83","",""
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|BG","Without Sequence","238.39","",""
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|BG","Without Sequence","200.69","",""
"01/01/2022 22:00:00 - 01/01/2022 23:00:00","BZN|BG","Without Sequence","190.62","",""
"01/01/2022 23:00:00 - 02/01/2022 00:00:00","BZN|BG","Without Sequence","84.26","",""
"02/01/2022 00:00:00 - 02/01/2022 01:00:00","BZN|BG","Without Sequence","111.64","",""
"02/01/2022 01:00:00 - 02/01/2022 02:00:00","BZN|BG","Without Sequence","102.85","",""
"02/01/2022 02:00:00 - 02/01/2022 03:00:00","BZN|BG","Without Sequence","84.27","",""
"02/01/2022 03:00:00 - 02/01/2022 04:00:00","BZN|BG","Without Sequence","39.53","",""
"02/01/2022 04:00:00 - 02/01/2022 05:00:00","BZN|BG","Without Sequence","18.97","",""
"02/01/2022 05:00:00 - 02/01/2022 06:00:00","BZN|BG","Without Sequence","18.97","",""
"02/01/2022 06:00:00 - 02/01/2022 07:00:00","BZN|BG","Without Sequence","18.97","",""
"02/01/2022 07:00:00 - 02/01/2022 08:00:00","BZN|BG","Without Sequence","47.59","",""
"02/01/2022 08:00:00 - 02/01/2022 09:00:00","BZN|BG","Without Sequence","95.73","",""
"02/01/2022 09:00:00 - 02/01/2022 10:00:00","BZN|BG","Without Sequence","117.36","",""
"02/01/2022 10:00:00 - 02/01/2022 11:00:00","BZN|BG","Without Sequence","137.08","",""
"02/01/2022 11:00:00 - 02/01/2022 12:00:00","BZN|BG","Without Sequence","129.58","",""
"02/01/2022 12:00:00 - 02/01/2022 13:00:00","BZN|BG","Without Sequence","126.23","",""
"02/01/2022 13:00:00 - 02/01/2022 14:00:00","BZN|BG","Without Sequence","144.27","",""
"02/01/2022 14:00:00 - 02/01/2022 15:00:00","BZN|BG","Without Sequence","262.03","",""
"02/01/2022 15:00:00 - 02/01/2022 16:00:00","BZN|BG","Without Sequence","308.87","",""
"02/01/2022 16:00:00 - 02/01/2022 17:00:00","BZN|BG","Without Sequence","379.84","",""
"02/01/2022 17:00:00 - 02/01/2022 18:00:00","BZN|BG","Without Sequence","479.18","",""
"02/01/2022 18:00:00 - 02/01/2022 19:00:00","BZN|BG","Without Sequence","440.43","",""
"02/01/2022 19:00:00 - 02/01/2022 20:00:00","BZN|BG","Without Sequence","351.25","",""
"02/01/2022 20:00:00 - 02/01/2022 21:00:00","BZN|BG","Without Sequence","320.25","",""
"02/01/2022 21:00:00 - 02/01/2022 22:00:00","BZN|BG","Without Sequence","221.00","",""
"02/01/2022 22:00:00 - 02/01/2022 23:00:00","BZN|BG","Without Sequence","90.53","",""
"02/01/2022 23:00:00 - 03/01/2022 00:00:00","BZN|BG","Without Sequence","64.41","",""
"03/01/2022 00:00:00 - 03/01/2022 01:00:00","BZN|BG","Without Sequence","40.86","",""
"03/01/2022 01:00:00 - 03/01/2022 02:00:00","BZN|BG","Without Sequence","18.97","",""
"03/01/2022 02:00:00 - 03/01/2022 03:00:00","BZN|BG","Without Sequence","18.97","",""
"03/01/2022 03:00:00 - 03/01/2022 04:00:00","BZN|BG","Without Sequence","13.83","",""
"03/01/2022 04:00:00 - 03/01/2022 05:00:00","BZN|BG","Without Sequence","17.58","",""
"03/01/2022 05:00:00 - 03/01/2022 06:00:00","BZN|BG","Without Sequence","29.99","",""
"03/01/2022 06:00:00 - 03/01/2022 07:00:00","BZN|BG","Without Sequence","156.47","",""
"03/01/2022 07:00:00 - 03/01/2022 08:00:00","BZN|BG","Without Sequence","221.01","",""
"03/01/2022 08:00:00 - 03/01/2022 09:00:00","BZN|BG","Without Sequence","275.93","",""
"03/01/2022 09:00:00 - 03/01/2022 10:00:00","BZN|BG","Without Sequence","265.07","",""
"03/01/2022 10:00:00 - 03/01/2022 11:00:00","BZN|BG","Without Sequence","265.07","",""
"03/01/2022 11:00:00 - 03/01/2022 12:00:00","BZN|BG","Without Sequence","235.76","",""
"03/01/2022 12:00:00 - 03/01/2022 13:00:00","BZN|BG","Without Sequence","265.01","",""
"03/01/2022 13:00:00 - 03/01/2022 14:00:00","BZN|BG","Without Sequence","228.83","",""
"03/01/2022 14:00:00 - 03/01/2022 15:00:00","BZN|BG","Without Sequence","254.25","",""
"03/01/2022 15:00:00 - 03/01/2022 16:00:00","BZN|BG","Without Sequence","352.10","",""
"03/01/2022 16:00:00 - 03/01/2022 17:00:00","BZN|BG","Without Sequence","352.19","",""
"03/01/2022 17:00:00 - 03/01/2022 18:00:00","BZN|BG","Without Sequence","300.11","",""
"03/01/2022 18:00:00 - 03/01/2022 19:00:00","BZN|BG","Without Sequence","289.66","",""
"03/01/2022 19:00:00 - 03/01/2022 20:00:00","BZN|BG","Without Sequence","265.09","",""
"03/01/2022 20:00:00 - 03/01/2022 21:00:00","BZN|BG","Without Sequence","244.49","",""
"03/01/2022 21:00:00 - 03/01/2022 22:00:00","BZN|BG","Without Sequence","193.44","",""
"03/01/2022 22:00:00 - 03/01/2022 23:00:00","BZN|BG","Without Sequence","212.09","",""
"03/01/2022 23:00:00 - 04/01/2022 00:00:00","BZN|BG","Without Sequence","189.58","",""
"04/01/2022 00:00:00 - 04/01/2022 01:00:00","BZN|BG","Without Sequence","109.34","",""
"04/01/2022 01:00:00 - 04/01/2022 02:00:00","BZN|BG","Without Sequence","103.74","",""
"04/01/2022 02:00:00 - 04/01/2022 03:00:00","BZN|BG","Without Sequence","103.25","",""
"04/01/2022 03:00:00 - 04/01/2022 04:00:00","BZN|BG","Without Sequence","104.54","",""
"04/01/2022 04:00:00 - 04/01/2022 05:00:00","BZN|BG","Without Sequence","169.97","",""
"04/01/2022 05:00:00 - 04/01/2022 06:00:00","BZN|BG","Without Sequence","223.95","",""
"04/01/2022 06:00:00 - 04/01/2022 07:00:00","BZN|BG","Without Sequence","306.89","",""
"04/01/2022 07:00:00 - 04/01/2022 08:00:00","BZN|BG","Without Sequence","443.27","",""
"04/01/2022 08:00:00 - 04/01/2022 09:00:00","BZN|BG","Without Sequence","392.50","",""
"04/01/2022 09:00:00 - 04/01/2022 10:00:00","BZN|BG","Without Sequence","377.09","",""
"04/01/2022 10:00:00 - 04/01/2022 11:00:00","BZN|BG","Without Sequence","371.37","",""
"04/01/2022 11:00:00 - 04/01/2022 12:00:00","BZN|BG","Without Sequence","356.78","",""
"04/01/2022 12:00:00 - 04/01/2022 13:00:00","BZN|BG","Without Sequence","356.86","",""
"04/01/2022 13:00:00 - 04/01/2022 14:00:00","BZN|BG","Without Sequence","351.25","",""
"04/01/2022 14:00:00 - 04/01/2022 15:00:00","BZN|BG","Without Sequence","375.52","",""
"04/01/2022 15:00:00 - 04/01/2022 16:00:00","BZN|BG","Without Sequence","375.52","",""
"04/01/2022 16:00:00 - 04/01/2022 17:00:00","BZN|BG","Without Sequence","394.14","",""
"04/01/2022 17:00:00 - 04/01/2022 18:00:00","BZN|BG","Without Sequence","411.23","",""
"04/01/2022 18:00:00 - 04/01/2022 19:00:00","BZN|BG","Without Sequence","385.67","",""
"04/01/2022 19:00:00 - 04/01/2022 20:00:00","BZN|BG","Without Sequence","352.15","",""
"04/01/2022 20:00:00 - 04/01/2022 21:00:00","BZN|BG","Without Sequence","305.34","",""
"04/01/2022 21:00:00 - 04/01/2022 22:00:00","BZN|BG","Without Sequence","235.04","",""
"04/01/2022 22:00:00 - 04/01/2022 23:00:00","BZN|BG","Without Sequence","221.00","",""
"04/01/2022 23:00:00 - 05/01/2022 00:00:00","BZN|BG","Without Sequence","169.97","",""
"05/01/2022 00:00:00 - 05/01/2022 01:00:00","BZN|BG","Without Sequence","197.66","",""
"05/01/2022 01:00:00 - 05/01/2022 02:00:00","BZN|BG","Without Sequence","113.26","",""
"05/01/2022 02:00:00 - 05/01/2022 03:00:00","BZN|BG","Without Sequence","104.58","",""
"05/01/2022 03:00:00 - 05/01/2022 04:00:00","BZN|BG","Without Sequence","114.74","",""
"05/01/2022 04:00:00 - 05/01/2022 05:00:00","BZN|BG","Without Sequence","154.72","",""
"05/01/2022 05:00:00 - 05/01/2022 06:00:00","BZN|BG","Without Sequence","185.39","",""
"05/01/2022 06:00:00 - 05/01/2022 07:00:00","BZN|BG","Without Sequence","230.86","",""
"05/01/2022 07:00:00 - 05/01/2022 08:00:00","BZN|BG","Without Sequence","262.97","",""
"05/01/2022 08:00:00 - 05/01/2022 09:00:00","BZN|BG","Without Sequence","302.37","",""
"05/01/2022 09:00:00 - 05/01/2022 10:00:00","BZN|BG","Without Sequence","287.85","",""
"05/01/2022 10:00:00 - 05/01/2022 11:00:00","BZN|BG","Without Sequence","271.00","",""
"05/01/2022 11:00:00 - 05/01/2022 12:00:00","BZN|BG","Without Sequence","254.24","",""
"05/01/2022 12:00:00 - 05/01/2022 13:00:00","BZN|BG","Without Sequence","258.12","",""
"05/01/2022 13:00:00 - 05/01/2022 14:00:00","BZN|BG","Without Sequence","255.57","",""
"05/01/2022 14:00:00 - 05/01/2022 15:00:00","BZN|BG","Without Sequence","263.25","",""
"05/01/2022 15:00:00 - 05/01/2022 16:00:00","BZN|BG","Without Sequence","286.74","",""
"05/01/2022 16:00:00 - 05/01/2022 17:00:00","BZN|BG","Without Sequence","315.25","",""
"05/01/2022 17:00:00 - 05/01/2022 18:00:00","BZN|BG","Without Sequence","349.63","",""
"05/01/2022 18:00:00 - 05/01/2022 19:00:00","BZN|BG","Without Sequence","351.20","",""
"05/01/2022 19:00:00 - 05/01/2022 20:00:00","BZN|BG","Without Sequence","343.68","",""
"05/01/2022 20:00:00 - 05/01/2022 21:00:00","BZN|BG","Without Sequence","310.19","",""
