"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (BGN/MWh)","Intraday Period (CET/CEST)","Intraday Price (BGN/MWh)"
"01/01/2021 00:00:00 - 01/01/2021 01:00:00","BZN|BG","Without Sequence","97.69","",""
"01/01/2021 01:00:00 - 01/01/2021 02:00:00","BZN|BG","Without Sequence","93.98","",""
"01/01/2021 02:00:00 - 01/01/2021 03:00:00","BZN|BG","Without Sequence","97.05","",""
"01/01/2021 03:00:00 - 01/01/2021 04:00:00","BZN|BG","Without Sequence","91.39","",""
"01/01/2021 04:00:00 - 01/01/2021 05:00:00","BZN|BG","Without Sequence","88.78","",""
"01/01/2021 05:00:00 - 01/01/2021 06:00:00","BZN|BG","Without Sequence","86.54","",""
"01/01/2021 06:00:00 - 01/01/2021 07:00:00","BZN|BG","Without Sequence","71.07","",""
"01/01/2021 07:00:00 - 01/01/2021 08:00:00","BZN|BG","Without Sequence","39.06","",""
"01/01/2021 08:00:00 - 01/01/2021 09:00:00","BZN|BG","Without Sequence","39.11","",""
"01/01/2021 09:00:00 - 01/01/2021 10:00:00","BZN|BG","Without Sequence","39.95","",""
"01/01/2021 10:00:00 - 01/01/2021 11:00:00","BZN|BG","Without Sequence","39.43","",""
"01/01/2021 11:00:00 - 01/01/2021 12:00:00","BZN|BG","Without Sequence","43.51","",""
"01/01/2021 12:00:00 - 01/01/2021 13:00:00","BZN|BG","Without Sequence","43.51","",""
"01/01/2021 13:00:00 - 01/01/2021 14:00:00","BZN|BG","Without Sequence","56.70","",""
"01/01/2021 14:00:00 - 01/01/2021 15:00:00","BZN|BG","Without Sequence","87.57","",""
"01/01/2021 15:00:00 - 01/01/2021 16:00:00","BZN|BG","Without Sequence","99.91","",""
"01/01/2021 16:00:00 - 01/01/2021 17:00:00","BZN|BG","Without Sequence","99.97","",""
"01/01/2021 17:00:00 - 01/01/2021 18:00:00","BZN|BG","Without Sequence","100.62","",""
"01/01/2021 18:00:00 - 01/01/2021 19:00:00","BZN|BG","Without Sequence","100.61","",""
"01/01/2021 19:00:00 - 01/01/2021 20:00:00","BZN|BG","Without Sequence","100.20","",""
"01/01/2021 20:00:00 - 01/01/2021 21:00:00","BZN|BG","Without Sequence","99.97","",""
"01/01/2021 21:00:00 - 01/01/2021 22:00:00","BZN|BG","Without Sequence","100.29","",""
"01/01/2021 22:00:00 - 01/01/2021 23:00:00","BZN|BG","Without Sequence","100.23","",""
"01/01/2021 23:00:00 - 02/01/2021 00:00:00","BZN|BG","Without Sequence","100.45","",""
"02/01/2021 00:00:00 - 02/01/2021 01:00:00","BZN|BG","Without Sequence","90.11","",""
"02/01/2021 01:00:00 - 02/01/2021 02:00:00","BZN|BG","Without Sequence","78.34","",""
"02/01/2021 02:00:00 - 02/01/2021 03:00:00","BZN|BG","Without Sequence","74.36","",""
"02/01/2021 03:00:00 - 02/01/2021 04:00:00","BZN|BG","Without Sequence","58.02","",""
"02/01/2021 04:00:00 - 02/01/2021 05:00:00","BZN|BG","Without Sequence","62.00","",""
"02/01/2021 05:00:00 - 02/01/2021 06:00:00","BZN|BG","Without Sequence","85.22","",""
